final_label_source,confidence_tier,final_binding_loop_label,n_loops
prior_default,low,0,1240
prior_empirical_calibrated,high,0,609
prior_empirical_calibrated,medium,0,279
manual_review::document_supported,low,1,255
prior_default,low,1,218
prior_empirical_calibrated,medium,1,151
annotation_target_chain,medium,0,135
manual_review::scaffold_prior_supported,low,1,117
prior_empirical_calibrated,high,1,110
annotation_target_chain,medium,1,94
manual_review::scaffold_prior_supported,medium,1,59
manual_review::insufficient_evidence,medium,,39
manual_review::document_supported,medium,1,24
manual_review::insufficient_evidence,low,,17
prior_default,medium,1,10
prior_document_override,high,0,9
annotation_target_chain,high,0,4
manual_review::contradicts_structure,low,,4
prior_document_override,high,1,4
annotation_target_chain,high,1,2
manual_review::contradicts_scaffold_prior,medium,0,1
manual_review::document_supported,low,0,1
manual_review::scaffold_prior_supported,medium,,1
