group,metric,n_binding,n_nonbinding,binding_mean,nonbinding_mean,binding_median,nonbinding_median,delta_mean,delta_median,mannwhitney_p
overall_primary,avg_rsa,987,1286,0.5089579807497467,0.556382901244168,0.502442,0.548099,-0.04742492049442126,-0.04565699999999995,1.6789566850585505e-21
overall_primary,loop_constraint_score_total_norm,987,1286,3.201555903748733,3.7357724199066875,2.857143,2.636364,-0.5342165161579544,0.22077900000000028,0.03677902305542094
overall_primary,itsflex_score,966,1268,0.1595010384530237,0.1483383517161208,0.096754205,0.07620713,0.011162686736902905,0.020547074999999998,0.01093101665994578
overall_primary,flexscore_ensemble_diversity,937,1235,2.06237780149413,2.459821052631579,1.072,1.082,-0.39744325113744905,-0.010000000000000009,0.04656299909965359
Ibody,avg_rsa,30,33,0.5502718999999999,0.5684002727272727,0.5541625,0.512952,-0.018128372727272746,0.04121050000000004,0.38217816729711407
Ibody,loop_constraint_score_total_norm,30,33,2.1382936666666668,2.058122181818182,2.166667,2.133333,0.08017148484848491,0.033333999999999975,0.4736642103986688
Ibody,itsflex_score,30,33,0.22280959510000004,0.3085503776666667,0.160041125,0.13198037,-0.08574078256666667,0.028060754999999993,0.44499024416657196
Ibody,flexscore_ensemble_diversity,30,33,0.8041,0.9725757575757575,0.7215,0.702,-0.1684757575757575,0.019500000000000073,0.5357190408611296
adnectin,avg_rsa,587,432,0.5112905689948892,0.5358275972222223,0.499047,0.4950715,-0.024537028227333058,0.003975500000000021,0.017977488935599643
adnectin,loop_constraint_score_total_norm,587,432,2.4876466592844975,2.7080007268518522,2.571429,2.746032,-0.22035406756735476,-0.17460299999999984,0.0001960924692284301
adnectin,itsflex_score,583,430,0.14024376988216125,0.2069281281332558,0.08395945,0.111235503,-0.06668435825109456,-0.027276052999999995,1.0131465600476083e-15
adnectin,flexscore_ensemble_diversity,567,413,1.284432098765432,0.8021186440677965,0.972,0.546,0.48231345469763554,0.42599999999999993,1.926691081865777e-23
affimer,avg_rsa,60,61,0.5758316333333333,0.5703960983606557,0.5751505,0.582211,0.005435534972677569,-0.007060500000000025,0.9524607485668135
affimer,loop_constraint_score_total_norm,60,61,2.7792894666666665,2.3756421311475417,2.8,2.25,0.4036473355191248,0.5499999999999998,0.00040175035390384127
affimer,itsflex_score,56,54,0.22586821264285714,0.3198801350185185,0.14389638999999999,0.23885549,-0.09401192237566133,-0.09495910000000002,0.021848140593924106
affimer,flexscore_ensemble_diversity,56,53,3.4983214285714292,2.903792452830189,2.883,2.174,0.5945289757412402,0.7090000000000001,0.7919907536138677
cyclotide,avg_rsa,5,474,0.5275456,0.5768934746835442,0.601081,0.56754,-0.04934787468354429,0.03354099999999993,0.6272704381841294
cyclotide,loop_constraint_score_total_norm,5,474,3.5423808,4.613501156118144,3.5,2.775,-1.0711203561181435,0.7250000000000001,0.8492337992815256
cyclotide,itsflex_score,5,472,0.319344172,0.11463714215510634,0.35730347,0.06313609,0.20470702984489364,0.29416738,0.011535180806247209
cyclotide,flexscore_ensemble_diversity,4,465,8.558,3.1997999999999998,8.507,2.374,5.3582,6.132999999999999,0.024049919248595873
knottin,avg_rsa,178,155,0.5954709269662922,0.5617665032258065,0.6192565000000001,0.556767,0.03370442374048577,0.06248950000000009,1.8409095210228386e-05
knottin,loop_constraint_score_total_norm,178,155,5.44301161235955,5.448623374193549,5.166667,6.133333,-0.005611761833998585,-0.966666,0.6139666228215654
knottin,itsflex_score,172,154,0.1574361184495401,0.08407028444266233,0.0474668335,0.029686507,0.07336583400687778,0.0177803265,0.4833474261175217
knottin,flexscore_ensemble_diversity,160,146,4.808925,5.369506849315069,3.7954999999999997,3.274,-0.5605818493150689,0.5214999999999996,0.46526037842758305
kunitz,avg_rsa,127,131,0.3348374409448818,0.5340320839694657,0.333636,0.535208,-0.19919464302458384,-0.20157200000000003,1.017030019067475e-43
kunitz,loop_constraint_score_total_norm,127,131,3.7969522755905514,2.9784629389312975,3.583333,2.454545,0.8184893366592538,1.1287880000000001,1.0926532378593326e-29
kunitz,itsflex_score,120,125,0.20256036924999998,0.036821521786888,0.18081528,0.017615708,0.165738847463112,0.163199572,3.5283954933452308e-34
kunitz,flexscore_ensemble_diversity,120,125,1.50405,1.990024,0.7895,0.812,-0.4859739999999999,-0.022500000000000075,0.08552564160946624
