group,metric,label_layer,n_binding,n_nonbinding,binding_mean,nonbinding_mean,binding_median,nonbinding_median,delta_mean,delta_median,mannwhitney_p
overall_strict,rel_asa,distance_defined_label,316,1516,0.3475264915588282,0.44269720674727725,0.3104222821203953,0.4201183431952662,-0.09517071518844905,-0.1096960610748709,1.4593154702790064e-07
overall_strict,delta_asa_proxy,distance_defined_label,316,1516,27.559620281072597,0.06244653134487734,19.29520968900639,0.0,27.497173749727718,19.29520968900639,0.0
overall_strict,rel_asa,delta_asa_supported_label,294,1538,0.34822329519531486,0.44120265798051983,0.31411108158384266,0.4201183431952662,-0.09297936278520497,-0.10600726161142354,7.883599165334942e-07
overall_strict,rel_asa,core_interface_label,220,1612,0.3534033934943052,0.43622741327091497,0.3417007259195998,0.41789215686274506,-0.08282401977660975,-0.07619143094314523,0.00014856727148126675
overall_strict,rel_asa,core_interface_strict_label,199,1633,0.348273968410643,0.435787395620174,0.3402061855670103,0.4191176470588235,-0.08751342720953098,-0.07891146149181316,0.00012420676309637688
EVH1domain,rel_asa,distance_defined_label,13,91,0.4030620481654029,0.4783696258587546,0.3991935483870967,0.4523809523809524,-0.07530757769335167,-0.053187403993855686,0.35296911954606724
EVH1domain,delta_asa_proxy,distance_defined_label,13,91,21.768572052163133,0.07064564993820124,13.283910376439081,0.0,21.697926402224933,13.283910376439081,1.8578547810050424e-17
EVH1domain,rel_asa,delta_asa_supported_label,11,93,0.4127654657347957,0.47560239200230275,0.3991935483870967,0.4523809523809524,-0.06283692626750703,-0.053187403993855686,0.43101896367149384
EVH1domain,rel_asa,core_interface_label,10,94,0.39293090119716423,0.4770439741204816,0.37475600986233815,0.46210596914822266,-0.08411307292331738,-0.08734995928588452,0.2999703832693158
EVH1domain,rel_asa,core_interface_strict_label,9,95,0.4177219656907695,0.4738099461903157,0.3991935483870967,0.4523809523809524,-0.056087980499546164,-0.053187403993855686,0.5136047636539196
adnectin,rel_asa,distance_defined_label,59,266,0.31689976177808815,0.4786740038499813,0.2846153846153846,0.4906217029424407,-0.16177424207189317,-0.20600631832705607,9.378192866529636e-05
adnectin,delta_asa_proxy,distance_defined_label,59,266,32.15024921840665,0.08318767275524529,29.065562841670648,0.0,32.067061545651406,29.065562841670648,1.8181966098595232e-59
adnectin,rel_asa,delta_asa_supported_label,54,271,0.3283712821029784,0.47340340123779123,0.34318001586042823,0.4880952380952381,-0.14503211913481284,-0.14491522223480985,0.0007295766745572176
adnectin,rel_asa,core_interface_label,45,280,0.33992098615491806,0.4668854521143962,0.3461538461538461,0.4880952380952381,-0.12696446595947813,-0.141941391941392,0.006177477799913113
adnectin,rel_asa,core_interface_strict_label,42,283,0.3283265618691287,0.467260266326851,0.34318001586042823,0.4880952380952381,-0.13893370445772235,-0.14491522223480985,0.003359612463769319
affimer,rel_asa,distance_defined_label,2,32,0.6173372689140904,0.42929689758619705,0.6173372689140904,0.38308763308763305,0.1880403713278933,0.2342496358264573,0.39991216004099617
affimer,delta_asa_proxy,distance_defined_label,2,32,23.730441082306083,0.0,23.730441082306083,0.0,23.730441082306083,23.730441082306083,1.58400729371543e-08
affimer,rel_asa,delta_asa_supported_label,2,32,0.6173372689140904,0.42929689758619705,0.6173372689140904,0.38308763308763305,0.1880403713278933,0.2342496358264573,0.39991216004099617
affimer,rel_asa,core_interface_label,2,32,0.6173372689140904,0.42929689758619705,0.6173372689140904,0.38308763308763305,0.1880403713278933,0.2342496358264573,0.39991216004099617
affimer,rel_asa,core_interface_strict_label,1,33,0.3365853658536585,0.44350272408281294,0.3365853658536585,0.3873873873873873,-0.10691735822915444,-0.050802021533728814,0.9188065017789901
centyrin,rel_asa,distance_defined_label,7,15,0.3953641353059308,0.41137734209610816,0.3113207547169811,0.4365482233502538,-0.01601320679017737,-0.12522746863327266,0.8906557838446382
centyrin,delta_asa_proxy,distance_defined_label,7,15,14.055909198370019,0.0,5.629633504267994,0.0,14.055909198370019,5.629633504267994,0.00038269033432244666
centyrin,rel_asa,delta_asa_supported_label,5,17,0.39350646468389283,0.41003980912727495,0.3113207547169811,0.4365482233502538,-0.016533344443382114,-0.12522746863327266,0.9999999999999999
centyrin,rel_asa,core_interface_label,4,18,0.3073592713310565,0.4282651107366063,0.27529227919898136,0.45538751373698255,-0.12090583940554978,-0.1800952345380012,0.5380724538619276
centyrin,rel_asa,core_interface_strict_label,3,19,0.3300577605477482,0.41831767352315236,0.3113207547169811,0.4365482233502538,-0.08825991297540414,-0.12522746863327266,0.7181818181818184
cyclotide,rel_asa,distance_defined_label,67,129,0.35694015130458234,0.47122079912443043,0.3028169014084507,0.4201183431952662,-0.11428064781984809,-0.11730144178681551,0.011602226313815486
cyclotide,delta_asa_proxy,distance_defined_label,67,129,20.246941585473067,0.025432288435223514,2.4152564320798433,0.0,20.221509297037844,2.4152564320798433,5.988488003476972e-41
cyclotide,rel_asa,delta_asa_supported_label,67,129,0.35694015130458234,0.47122079912443043,0.3028169014084507,0.4201183431952662,-0.11428064781984809,-0.11730144178681551,0.011602226313815486
cyclotide,rel_asa,core_interface_label,23,173,0.40626737785555633,0.4355972458600043,0.4191176470588235,0.4166666666666667,-0.02932986800444798,0.0024509803921567985,0.515904685940717
cyclotide,rel_asa,core_interface_strict_label,21,175,0.40175097508372704,0.4358040157011445,0.350253807106599,0.4201183431952662,-0.034053040617417485,-0.06986453608866722,0.4414946050189885
knottin,rel_asa,distance_defined_label,31,153,0.31707827064572197,0.3768425353079717,0.3095238095238095,0.3461538461538461,-0.05976426466224971,-0.03663003663003661,0.3542203736761774
knottin,delta_asa_proxy,distance_defined_label,31,153,18.948895513446033,0.007003000157272682,15.817441488741252,0.0,18.94189251328876,15.817441488741252,1.4027116992646498e-28
knottin,rel_asa,delta_asa_supported_label,23,161,0.32525921966874216,0.37270417540221107,0.3095238095238095,0.3461538461538461,-0.04744495573346891,-0.03663003663003661,0.6022930681098535
knottin,rel_asa,core_interface_label,19,165,0.36306093787246513,0.36720106953066795,0.3169014084507042,0.3153153153153153,-0.004140131658202817,0.0015860931353888774,0.714220760499985
knottin,rel_asa,core_interface_strict_label,17,167,0.3397424812422136,0.36952522222167317,0.3095238095238095,0.3461538461538461,-0.029782740979459543,-0.03663003663003661,0.9599688785712344
kunitz,rel_asa,distance_defined_label,10,48,0.3043326222884314,0.4318742528317632,0.4193548387096774,0.4158805031446541,-0.12754163054333179,0.003474335565023301,0.22049173299644942
