release_path	source_layer	headers_preview
tables/active_structure_context.csv	release_table	protein_row_id|structure_unique_sequence_id|structure_best_available_source|structure_source|structure_type|structure_locator|chain_id|resnum_start|resnum_end|chain_length|final_chain_assignment|complex_chain_annotation_completed|pdb_path|pdb_code|chain_count|structure_match_type|structure_match_detail|structure_match_identity|structure_match_coverage|structure_match_chain_coverage
tables/affinity_data.csv	release_table	affinity_id|interaction_id|determination_method|value
tables/bcell_epitope_results.csv	release_table	protein_row_id|structure_unique_sequence_id|BP3_Input_ID|BP3_Residue_Count|BP3_Mean_Score|BP3_Max_Score|BP3_Mean_Linear|BP3_Max_Linear|BP3_Top20_Ratio|BP3_BCell_Level|BP3_Confidence_Score_0_100|BP3_Confidence_Level
tables/digestive_assays.csv	release_table	assay_id|domain_id|enzyme_name|result_value
tables/domains.csv	release_table	domain_id|protein_id|source_id|structure_unique_sequence_id|domain_name|sequence|is_engineered|construct_details|scaffold_type
tables/ecoli_expression_results.csv	release_table	protein_row_id|structure_unique_sequence_id|EcoliExpr_screen_input_id|EcoliExpr_screen_row_index|EcoliExpr_screen_track|EcoliExpr_soluprot_score|EcoliExpr_netsolp_solubility|EcoliExpr_netsolp_usability|EcoliExpr_rp3net_score|EcoliExpr_ensemble_score|EcoliExpr_engineering_required|EcoliExpr_out_of_domain|EcoliExpr_recommended_ecoli_route|EcoliExpr_candidate_bucket|EcoliExpr_screening_note|EcoliExpr_track_reason|EcoliExpr_score_components_available|EcoliExpr_priority_rank_within_track|EcoliExpr_priority_rank_within_scaffold|EcoliExpr_ensemble_score_weight_sum|EcoliExpr_netsolp_tool_score|EcoliExpr_confidence_score_0_100|EcoliExpr_confidence_tier|EcoliExpr_tool_score_spread
tables/foldseek_results.csv	release_table	protein_row_id|structure_unique_sequence_id|foldseek_status|foldseek_target|foldseek_evalue|foldseek_bits|foldseek_alntmscore|foldseek_qtmscore|foldseek_ttmscore|foldseek_lddt|foldseek_prob|foldseek_fident|foldseek_alnlen|foldseek_qcov|foldseek_tcov|foldseek_avg_tm|foldseek_confidence
tables/functional_annotations.csv	release_table	annotation_id|protein_id|annotation_type|annotation_value
tables/immunogenicity_summary.csv	release_table	protein_row_id|structure_unique_sequence_id|overall_final_judgement|overall_confidence_score_0_100|overall_confidence_level
tables/interactions.csv	release_table	interaction_id|domain_id|target_variant_id|source_id|interaction_class|is_inhibitory|protein_row_id|structure_unique_sequence_id
