affinity_id,interaction_id,determination_method,value
AFF_00001,INT_00001,Ki,6.2
AFF_00002,INT_00002,,
AFF_00003,INT_00003,,
AFF_00004,INT_00004,,
AFF_00005,INT_00005,IC50,5.0
AFF_00006,INT_00006,,
AFF_00007,INT_00007,,
AFF_00008,INT_00008,,
AFF_00009,INT_00009,,
AFF_00010,INT_00010,,
AFF_00011,INT_00011,,
AFF_00012,INT_00012,,
AFF_00013,INT_00013,,
AFF_00014,INT_00014,,
AFF_00015,INT_00015,,
AFF_00016,INT_00016,,
AFF_00017,INT_00017,,
AFF_00018,INT_00018,Kd,9.6
AFF_00019,INT_00019,,
AFF_00020,INT_00020,,
AFF_00021,INT_00021,,
AFF_00022,INT_00022,,
AFF_00023,INT_00023,Kd,16.0
AFF_00024,INT_00024,,
AFF_00025,INT_00025,,
AFF_00026,INT_00026,,
AFF_00027,INT_00027,,
AFF_00028,INT_00028,,
AFF_00029,INT_00029,,
AFF_00030,INT_00030,Kd,1.1e-07
AFF_00031,INT_00031,Kd,1.3e-06
AFF_00032,INT_00032,Kd,4.8e-08
AFF_00033,INT_00033,Kd,7.4e-07
AFF_00034,INT_00034,Kd,3e-08
AFF_00035,INT_00035,Kd,1.9e-07
AFF_00036,INT_00036,Kd,1.3e-07
AFF_00037,INT_00037,Kd,2.9e-08
AFF_00038,INT_00038,,
AFF_00039,INT_00039,,
AFF_00040,INT_00040,,
AFF_00041,INT_00041,,
AFF_00042,INT_00042,Ki,310.0
AFF_00043,INT_00043,,
AFF_00044,INT_00044,,
AFF_00045,INT_00045,,
AFF_00046,INT_00046,,
AFF_00047,INT_00047,,
AFF_00048,INT_00048,,
AFF_00049,INT_00049,Kd,65.0
AFF_00050,INT_00050,,
AFF_00051,INT_00051,,
AFF_00052,INT_00052,,
AFF_00053,INT_00053,,
AFF_00054,INT_00054,,
AFF_00055,INT_00055,,
AFF_00056,INT_00056,,
AFF_00057,INT_00057,Kd,34.8
AFF_00058,INT_00058,Kd,42.1
AFF_00059,INT_00059,,
AFF_00060,INT_00060,Kd,413.0
AFF_00061,INT_00061,,
AFF_00062,INT_00062,,
AFF_00063,INT_00063,,
AFF_00064,INT_00064,IC50,0.25
AFF_00065,INT_00065,,
AFF_00066,INT_00066,,
AFF_00067,INT_00067,,
AFF_00068,INT_00068,,
AFF_00069,INT_00069,,
AFF_00070,INT_00070,,
AFF_00071,INT_00071,,
AFF_00072,INT_00072,,
AFF_00073,INT_00073,,
AFF_00074,INT_00074,,
AFF_00075,INT_00075,IC50,2e-08
AFF_00076,INT_00076,,
AFF_00077,INT_00077,Kd,26.0
AFF_00078,INT_00078,,
AFF_00079,INT_00079,,
AFF_00080,INT_00080,,
AFF_00081,INT_00081,Kd,220.0
AFF_00082,INT_00082,,
AFF_00083,INT_00083,,
AFF_00084,INT_00084,,
AFF_00085,INT_00085,,
AFF_00086,INT_00086,,
AFF_00087,INT_00087,,
AFF_00088,INT_00088,,
AFF_00089,INT_00089,,
AFF_00090,INT_00090,,
AFF_00091,INT_00091,,
AFF_00092,INT_00092,Ki,12.0
AFF_00093,INT_00093,,
AFF_00094,INT_00094,Ki,12.0
AFF_00095,INT_00095,Ki,12.0
AFF_00096,INT_00096,,
AFF_00097,INT_00097,,
