interaction_id,domain_id,target_variant_id,source_id,interaction_class,is_inhibitory,protein_row_id,structure_unique_sequence_id
INT_00001,DOM_0001,TVAR_0001,SRC_0001,,True,7,SEQ_C5CFAC53E1E1
INT_00002,DOM_0002,,SRC_0002,,,13,SEQ_F451416DF69F
INT_00003,DOM_0003,,SRC_0003,,,19,SEQ_BFA7C71A3038
INT_00004,DOM_0004,,SRC_0004,,,25,SEQ_A43C840E3CE9
INT_00005,DOM_0005,TVAR_0001,SRC_0005,,True,26,SEQ_3F76778C90DE
INT_00006,DOM_0006,,SRC_0006,,False,34,SEQ_73A7CFDF5D70
INT_00007,DOM_0007,,SRC_0007,,,36,SEQ_36F7C4C45265
INT_00008,DOM_0008,,SRC_0008,,,38,SEQ_436111C795BC
INT_00009,DOM_0009,,SRC_0009,,,41,SEQ_6610DD59B18B
INT_00010,DOM_0010,,SRC_0010,,,42,SEQ_1D1EBCBDE4B7
INT_00011,DOM_0011,,SRC_0011,,True,43,SEQ_933FD01A8873
INT_00012,DOM_0012,TVAR_0002,SRC_0012,,,45,SEQ_C75BBBBCCFCC
INT_00013,DOM_0013,,SRC_0013,,,46,SEQ_A03B5F987EAF
INT_00014,DOM_0014,,SRC_0014,,,51,SEQ_933D60060365
INT_00015,DOM_0015,,SRC_0006,,False,54,SEQ_7F8DF41047F3
INT_00016,DOM_0016,,SRC_0006,,False,55,SEQ_29E215C98F08
INT_00017,DOM_0017,,SRC_0006,,False,56,SEQ_5BF65E9A402F
INT_00018,DOM_0018,,SRC_0006,,False,57,SEQ_8AC3A24C5F40
INT_00019,DOM_0019,,SRC_0015,,,62,SEQ_1F68BF7AB035
INT_00020,DOM_0020,,SRC_0016,,,76,SEQ_83445B4F74AB
INT_00021,DOM_0021,TVAR_0003,SRC_0017,Trypsin,True,77,SEQ_533D1CE60FB9
INT_00022,DOM_0022,,SRC_0018,trypsin,True,78,SEQ_8FC3ECF6130A
INT_00023,DOM_0023,TVAR_0004,SRC_0019,histone H3,,79,SEQ_B1599713AE24
INT_00024,DOM_0024,,SRC_0020,,,85,SEQ_60892EF90140
INT_00025,DOM_0025,TVAR_0005,SRC_0043,,True,88,SEQ_7177C9A563D3
INT_00026,DOM_0026,,SRC_0022,,,89,SEQ_BBC5CC71FA91
INT_00027,DOM_0027,TVAR_0006,SRC_0043,,True,99,SEQ_A25A44A56E98
INT_00028,DOM_0028,,SRC_0024,,,105,SEQ_0E08A687B153
INT_00029,DOM_0029,,SRC_0025,,,106,SEQ_E5EC5B09A0A7
INT_00030,DOM_0030,TVAR_0007,SRC_0026,,,119,SEQ_58E75048154A
INT_00031,DOM_0031,TVAR_0007,SRC_0026,,,120,SEQ_8F5AEC8D068F
INT_00032,DOM_0032,TVAR_0007,SRC_0026,,,121,SEQ_DC00107813C1
INT_00033,DOM_0033,TVAR_0008,SRC_0027,,,122,SEQ_204A89E34375
INT_00034,DOM_0034,TVAR_0007,SRC_0026,,,123,SEQ_1345A1C26971
INT_00035,DOM_0035,TVAR_0007,SRC_0026,,,124,SEQ_89C3799A7F95
INT_00036,DOM_0036,TVAR_0007,SRC_0026,,,125,SEQ_2FF73853C06D
INT_00037,DOM_0037,TVAR_0007,SRC_0026,,,126,SEQ_E7C76458FBAF
INT_00038,DOM_0038,TVAR_0009,SRC_0041,,True,128,SEQ_EACADB92942A
INT_00039,DOM_0039,TVAR_0010,SRC_0026,,,129,SEQ_691D75937138
INT_00040,DOM_0040,,SRC_0029,,,132,SEQ_40765E68011F
INT_00041,DOM_0041,,SRC_0030,,,146,SEQ_E6EC5F9661A0
INT_00042,DOM_0042,TVAR_0001,SRC_0031,Matriptase,True,150,SEQ_322A70F6861B
INT_00043,DOM_0043,TVAR_0005,SRC_0043,,True,154,SEQ_3ACC7C7C546C
INT_00044,DOM_0044,TVAR_0011,SRC_0026,,,155,SEQ_B4DF3D1780AE
INT_00045,DOM_0045,TVAR_0012,SRC_0027,,,156,SEQ_935069375D36
INT_00046,DOM_0046,TVAR_0011,SRC_0026,,,157,SEQ_F57CD1C8931E
INT_00047,DOM_0047,TVAR_0011,SRC_0026,,,158,SEQ_D57ECD3F9752
INT_00048,DOM_0048,TVAR_0010,SRC_0026,,,159,SEQ_BC80A23CA0CE
INT_00049,DOM_0049,TVAR_0013,SRC_0033,,,160,SEQ_13F806737871
INT_00050,DOM_0050,TVAR_0014,SRC_0026,,,161,SEQ_F7A0E98B82A1
INT_00051,DOM_0051,,SRC_0046,,True,162,SEQ_5D73FCF6A7E9
INT_00052,DOM_0052,,SRC_0035,,,169,SEQ_8C79DE346C2A
INT_00053,DOM_0053,,SRC_0036,serine protease,True,170,SEQ_7E4F2FFC3DE2
INT_00054,DOM_0054,TVAR_0011,SRC_0026,,,171,SEQ_F2D673CE647E
INT_00055,DOM_0055,TVAR_0015,SRC_0026,,,172,SEQ_8E067D0580FD
INT_00056,DOM_0056,TVAR_0011,SRC_0026,,,173,SEQ_F0EEBDB0EE90
INT_00057,DOM_0057,TVAR_0016,SRC_0037,protein-protein interaction inhibitor,True,174,SEQ_D1CE361C5FB7
INT_00058,DOM_0058,TVAR_0016,SRC_0037,protein-protein interaction inhibitor,True,177,SEQ_22F9ADACD27E
INT_00059,DOM_0059,TVAR_0001,SRC_0038,,,178,SEQ_8A6E06C54895
INT_00060,DOM_0060,TVAR_0016,SRC_0037,protein-protein interaction inhibitor,True,179,SEQ_3371734A63D5
INT_00061,DOM_0061,TVAR_0011,SRC_0026,,,182,SEQ_D3EB9DBFF112
INT_00062,DOM_0062,TVAR_0010,SRC_0026,,,183,SEQ_8D785B1C8F1B
INT_00063,DOM_0063,TVAR_0014,SRC_0026,,,184,SEQ_74E901BF18D9
INT_00064,DOM_0064,TVAR_0001,SRC_0039,,True,185,SEQ_AA285EA55B48
INT_00065,DOM_0065,TVAR_0011,SRC_0026,,,186,SEQ_731BBF82664F
INT_00066,DOM_0066,TVAR_0011,SRC_0026,,,187,SEQ_090E8EBF5A31
INT_00067,DOM_0067,TVAR_0010,SRC_0026,,,188,SEQ_C09242DD916F
INT_00068,DOM_0068,,SRC_0540,,,189,SEQ_ACFCA5566055
INT_00069,DOM_0069,TVAR_0011,SRC_0026,,,190,SEQ_4B2B95A3BC94
INT_00070,DOM_0070,TVAR_0017,SRC_0041,,,191,SEQ_F77775A3F819
INT_00071,DOM_0071,TVAR_0011,SRC_0026,,,192,SEQ_76418B7EE719
INT_00072,DOM_0072,,SRC_0042,,True,196,SEQ_20B2B3FA19E6
INT_00073,DOM_0073,TVAR_0006,SRC_0043,,True,197,SEQ_8AC7BEA8C12F
INT_00074,DOM_0074,TVAR_0018,SRC_0041,,,199,SEQ_7FF8A21A22A4
INT_00075,DOM_0075,TVAR_0001,SRC_0044,,True,200,SEQ_796B1D1C8681
INT_00076,DOM_0076,TVAR_0011,SRC_0026,,,201,SEQ_EEDB4D5DD8AB
INT_00077,DOM_0077,TVAR_0019,SRC_0027,,,202,SEQ_2B627ED59C5B
INT_00078,DOM_0078,TVAR_0014,SRC_0026,,,203,SEQ_0BE9D42231D3
INT_00079,DOM_0079,TVAR_0011,SRC_0026,,,204,SEQ_C5B162431E78
INT_00080,DOM_0080,TVAR_0011,SRC_0026,,,205,SEQ_6131D5E85EA3
INT_00081,DOM_0081,TVAR_0001,SRC_0031,Matriptase,True,220,SEQ_94EC9B34D91C
