structure_id,domain_id,structure_unique_sequence_id,pdb_id,method,resolution,source_structure_identifier,source_structure_type,source_structure_note
STR_0001,DOM_0001,SEQ_C5CFAC53E1E1,,,,,,177-654-556-260-062.txt
STR_0002,DOM_0002,SEQ_F451416DF69F,,,,,,UniProt
STR_0003,DOM_0003,SEQ_BFA7C71A3038,1V91,SOLUTION NMR,,1V91,experimental,UniProt
STR_0004,DOM_0004,SEQ_A43C840E3CE9,5ZNU,SOLUTION NMR,,5ZNU,experimental,UniProt
STR_0005,DOM_0005,SEQ_3F76778C90DE,,,,,,159-618-564-650-30X.txt
STR_0006,DOM_0006,SEQ_73A7CFDF5D70,,,,,,Kini 等 - 2015 - Studies on the chitin binding property of novel cysteine-rich peptides from alternanthera sessilis.pdf
STR_0007,DOM_0007,SEQ_36F7C4C45265,2ASK,MS,1.55,2ASK,experimental,188-454-904-577-369.txt
STR_0008,DOM_0008,SEQ_436111C795BC,1DL0,SOLUTION NMR,,1DL0,experimental,UniProt
STR_0009,DOM_0009,SEQ_6610DD59B18B,,,,,,021-553-581-851-761.txt
STR_0010,DOM_0010,SEQ_1D1EBCBDE4B7,2MZF,SOLUTION NMR,,2MZF,experimental,UniProt
STR_0011,DOM_0011,SEQ_933FD01A8873,,,,,,164-308-824-249-780.txt
STR_0012,DOM_0012,SEQ_C75BBBBCCFCC,,,,,,057-760-329-909-755.txt
STR_0013,DOM_0013,SEQ_A03B5F987EAF,4GN3,X-ray diffraction,1.95,4GN3,experimental,PDB
STR_0014,DOM_0014,SEQ_933D60060365,8AJ7,X-ray diffraction,1.6,8AJ7,experimental,PDB
STR_0015,DOM_0015,SEQ_7F8DF41047F3,,,,,,Kini 等 - 2015 - Studies on the chitin binding property of novel cysteine-rich peptides from alternanthera sessilis.pdf
STR_0016,DOM_0016,SEQ_29E215C98F08,,,,,,Kini 等 - 2015 - Studies on the chitin binding property of novel cysteine-rich peptides from alternanthera sessilis.pdf
STR_0017,DOM_0017,SEQ_5BF65E9A402F,,,,,,Kini 等 - 2015 - Studies on the chitin binding property of novel cysteine-rich peptides from alternanthera sessilis.pdf
STR_0018,DOM_0018,SEQ_8AC3A24C5F40,,NMR,,,,Kini 等 - 2015 - Studies on the chitin binding property of novel cysteine-rich peptides from alternanthera sessilis.pdf
STR_0019,DOM_0019,SEQ_1F68BF7AB035,5ML9,X-ray diffraction,2.35,5ML9,experimental,PDB
STR_0020,DOM_0020,SEQ_83445B4F74AB,1ZDB,NMR,,1ZDB,experimental,PDB
STR_0021,DOM_0021,SEQ_533D1CE60FB9,5JBT,X-RAY DIFFRACTION,1.4,5JBT,experimental,015-196-960-855-471.txt
STR_0022,DOM_0022,SEQ_8FC3ECF6130A,,,,,,057-739-687-650-978.txt
STR_0023,DOM_0023,SEQ_B1599713AE24,,,,,,Chakravarty 等 - 2015 - Histone Peptide Recognition by KDM5B-PHD1 A Case Study.pdf
STR_0024,DOM_0024,SEQ_60892EF90140,4GN4,X-ray diffraction,1.861,4GN4,experimental,PDB
STR_0025,DOM_0025,SEQ_7177C9A563D3,4BQD,X-RAY DIFFRACTION,2.48,4BQD,experimental,055-789-819-229-759.txt
STR_0026,DOM_0026,SEQ_BBC5CC71FA91,1QDP,SOLUTION NMR,,1QDP,experimental,UniProt
STR_0027,DOM_0027,SEQ_A25A44A56E98,1ADZ,SOLUTION NMR,,1ADZ,experimental,055-789-819-229-759.txt
STR_0028,DOM_0028,SEQ_0E08A687B153,1ZA8,NMR,,1ZA8,experimental,PDB
STR_0029,DOM_0029,SEQ_E5EC5B09A0A7,1YP8,NMR,,1YP8,experimental,PDB
STR_0030,DOM_0030,SEQ_58E75048154A,,,,,,112-538-680-276-399.txt
STR_0031,DOM_0031,SEQ_8F5AEC8D068F,,,,,,112-538-680-276-399.txt
STR_0032,DOM_0032,SEQ_DC00107813C1,,,,,,112-538-680-276-399.txt
STR_0033,DOM_0033,SEQ_204A89E34375,,,,,,000-732-209-723-095.txt
STR_0034,DOM_0034,SEQ_1345A1C26971,,,,,,112-538-680-276-399.txt
STR_0035,DOM_0035,SEQ_89C3799A7F95,,,,,,112-538-680-276-399.txt
STR_0036,DOM_0036,SEQ_2FF73853C06D,,,,,,112-538-680-276-399.txt
STR_0037,DOM_0037,SEQ_E7C76458FBAF,,,,,,112-538-680-276-399.txt
STR_0038,DOM_0038,SEQ_EACADB92942A,1MJV,X-RAY DIFFRACTION,2.1,1MJV,experimental,124-729-961-304-429.txt
STR_0039,DOM_0039,SEQ_691D75937138,,,,,,112-538-680-276-399.txt
STR_0040,DOM_0040,SEQ_40765E68011F,1Q3J,NMR,,1Q3J,experimental,PDB
STR_0041,DOM_0041,SEQ_E6EC5F9661A0,2ML7,NMR,,2ML7,experimental,PDB
STR_0042,DOM_0042,SEQ_322A70F6861B,,,,,,Mitchell 等 - 2018 - Engineering a potent inhibitor of matriptase from the natural hepatocyte growth factor activator inh.pdf
STR_0043,DOM_0043,SEQ_3ACC7C7C546C,1ZR0,X-RAY DIFFRACTION,1.802,1ZR0,experimental,055-789-819-229-759.txt
STR_0044,DOM_0044,SEQ_B4DF3D1780AE,,,,,,112-538-680-276-399.txt
STR_0045,DOM_0045,SEQ_935069375D36,,,,,,000-732-209-723-095.txt
STR_0046,DOM_0046,SEQ_F57CD1C8931E,,,,,,112-538-680-276-399.txt
STR_0047,DOM_0047,SEQ_D57ECD3F9752,,,,,,112-538-680-276-399.txt
STR_0048,DOM_0048,SEQ_BC80A23CA0CE,,,,,,112-538-680-276-399.txt
STR_0049,DOM_0049,SEQ_13F806737871,,,,,,138-084-521-309-077.txt
STR_0050,DOM_0050,SEQ_F7A0E98B82A1,,,,,,112-538-680-276-399.txt
STR_0051,DOM_0051,SEQ_5D73FCF6A7E9,1IRH,SOLUTION NMR,,1IRH,experimental,015-996-154-556-886.txt
STR_0052,DOM_0052,SEQ_8C79DE346C2A,2M36,SOLUTION NMR,,2M36,experimental,UniProt
STR_0053,DOM_0053,SEQ_7E4F2FFC3DE2,,,,,,097-229-990-026-378.txt
STR_0054,DOM_0054,SEQ_F2D673CE647E,,,,,,112-538-680-276-399.txt
STR_0055,DOM_0055,SEQ_8E067D0580FD,,,,,,112-538-680-276-399.txt
STR_0056,DOM_0056,SEQ_F0EEBDB0EE90,,,,,,112-538-680-276-399.txt
