target_variant_id,target_concept_id,species_name,uniprot_id,gene_name_species
TVAR_0001,TGT_0001,Homo sapiens,,
TVAR_0002,TGT_0002,Homo sapiens,,TGFB2
TVAR_0003,TGT_0001,Bos taurus,,
TVAR_0004,TGT_0003,,,histone H3
TVAR_0005,TGT_0004,,,factor VIIa/TF complex
TVAR_0006,TGT_0005,,,factor Xa
TVAR_0007,TGT_0006,,,CD28
TVAR_0008,TGT_0006,Homo sapiens,,CD28
TVAR_0009,TGT_0007,Homo sapiens,,VEGF
TVAR_0010,TGT_0008,,,TPO-R
TVAR_0011,TGT_0009,,,CD20
TVAR_0012,TGT_0009,Homo sapiens,,CD20
TVAR_0013,TGT_0010,,,IL-6
TVAR_0014,TGT_0011,,,IL6
TVAR_0015,TGT_0012,,,IGE
TVAR_0016,TGT_0013,Homo sapiens,,KEAP1
TVAR_0017,TGT_0014,Homo sapiens,,PLGF
TVAR_0018,TGT_0007,Rattus norvegicus,,VEGF
TVAR_0019,TGT_0011,Homo sapiens,,IL6
TVAR_0020,TGT_0015,Homo sapiens,,melanocortin receptors
TVAR_0021,TGT_0016,Homo sapiens,,TNF
TVAR_0022,TGT_0017,Homo sapiens,,plasma kallikrein
TVAR_0023,TGT_0018,,,H3
TVAR_0024,TGT_0019,Homo sapiens,,MYOSTATIN
TVAR_0025,TGT_0020,,,INTEGRIN
TVAR_0026,TGT_0021,Homo sapiens,,HNE
TVAR_0027,TGT_0001,Sus scrofa,,
TVAR_0028,TGT_0022,Homo sapiens,P83303,SCN9A
TVAR_0029,TGT_0023,Homo sapiens,,KDR
TVAR_0030,TGT_0024,Homo sapiens,,TNFRSF10B
TVAR_0031,TGT_0025,,,GAS6
TVAR_0032,TGT_0001,Sendai virus,,
TVAR_0033,TGT_0026,Homo sapiens,,VEGF-A
TVAR_0034,TGT_0027,Homo sapiens,,integrin alpha-v beta-3
TVAR_0035,TGT_0028,,,αvβ3 integrin
TVAR_0036,TGT_0020,Homo sapiens,,INTEGRIN
TVAR_0037,TGT_0029,Homo sapiens,,"integrin αvβ3, αvβ5, α5β1"
TVAR_0038,TGT_0030,Homo sapiens,,"Integrin alpha-v beta-3, alpha-v beta-5, alpha-5 beta-1"
TVAR_0039,TGT_0031,,,integrin alphaVbeta3
TVAR_0040,TGT_0032,Homo sapiens,,LRP6
TVAR_0041,TGT_0033,,,Integrin αvβ6
TVAR_0042,TGT_0034,,,integrin alpha v beta 3
TVAR_0043,TGT_0035,Homo sapiens,,ITGA2B
TVAR_0044,TGT_0036,Homo sapiens,P41145,OPRK1
TVAR_0045,TGT_0037,Bos taurus,P00760,
TVAR_0046,TGT_0001,Caenorhabditis elegans,,
TVAR_0047,TGT_0038,Homo sapiens,,CD25
TVAR_0048,TGT_0039,Homo sapiens,,FN1
TVAR_0049,TGT_0040,Mycobacterium tuberculosis,,GARA
TVAR_0050,TGT_0041,Homo sapiens,,PTHR1
TVAR_0051,TGT_0042,Homo sapiens,,PTH1R
TVAR_0052,TGT_0043,Homo sapiens,,ALB
TVAR_0053,TGT_0044,Homo sapiens,,CD4
TVAR_0054,TGT_0045,Homo sapiens,,PCSK9
TVAR_0055,TGT_0046,Homo sapiens,,CD137
TVAR_0056,TGT_0012,Homo sapiens,,IGE
TVAR_0057,TGT_0047,Homo sapiens,,PD-L1
TVAR_0058,TGT_0048,Homo sapiens,P00533-1,EGFR
TVAR_0059,TGT_0049,Homo sapiens,P00533,EGFR
TVAR_0060,TGT_0050,Homo sapiens,,EGFR
TVAR_0061,TGT_0051,Homo sapiens,P08581,C-MET
TVAR_0062,TGT_0052,Macaca fascicularis,,PSMA
TVAR_0063,TGT_0053,Homo sapiens,P01732,CD8A
TVAR_0064,TGT_0054,Homo sapiens,Q07011,TNFRSF9
TVAR_0065,TGT_0052,Homo sapiens,,PSMA
TVAR_0066,TGT_0055,Homo sapiens,,CD8A
TVAR_0067,TGT_0056,Homo sapiens,,FcγRIIa
TVAR_0068,TGT_0057,Mus musculus,,IL-17A
TVAR_0069,TGT_0058,Homo sapiens,,FCGR2A
TVAR_0070,TGT_0059,Homo sapiens,,C-MET
TVAR_0071,TGT_0060,Homo sapiens,,CD71
TVAR_0072,TGT_0061,Plasmodium falciparum,,AMA1
TVAR_0073,TGT_0062,Homo sapiens,,CXCR4
TVAR_0074,TGT_0063,,,ET1
TVAR_0075,TGT_0064,Homo sapiens,,BCR::ABL1
TVAR_0076,TGT_0065,Oryctolagus cuniculus,,CRT
TVAR_0077,TGT_0066,,,MGLUR5
TVAR_0078,TGT_0067,Homo sapiens,,BCMA
TVAR_0079,TGT_0068,HIV-1,,GP41
TVAR_0080,TGT_0069,Homo sapiens,,PLG
TVAR_0081,TGT_0070,Homo sapiens,P03952,
TVAR_0082,TGT_0071,Homo sapiens,,PLASMIN
TVAR_0083,TGT_0072,Homo sapiens,,FCGRT
TVAR_0084,TGT_0073,Homo sapiens,P02768,ALB
TVAR_0085,TGT_0074,Homo sapiens,,CD209
TVAR_0086,TGT_0075,Homo sapiens,,IκBα
TVAR_0087,TGT_0076,Homo sapiens,,EPCAM
TVAR_0088,TGT_0077,Homo sapiens,,"CD71, EpCAM, Albumin"
TVAR_0089,TGT_0078,Homo sapiens,,CMET
TVAR_0090,TGT_0079,Homo sapiens,,MET
TVAR_0091,TGT_0080,Homo sapiens,,MCP-1
TVAR_0092,TGT_0081,,,GFP
TVAR_0093,TGT_0001,papaya,,
TVAR_0094,TGT_0082,,,TNF-ALPHA
TVAR_0095,TGT_0007,,,VEGF
