protein_row_id,structure_unique_sequence_id,qc_review_mode,trusted_source_group,trusted_source_sampled_for_qc,trusted_source_qc_verdict,trusted_source_qc_issue_type,trusted_source_qc_sampling_stratum,trusted_source_qc_sampling_rate,trusted_source_origin_row_index
7,SEQ_C5CFAC53E1E1,full_manual_review,other,False,not_reviewed,,,,
13,SEQ_F451416DF69F,full_manual_review,other,False,not_reviewed,,,,
19,SEQ_BFA7C71A3038,full_manual_review,other,False,not_reviewed,,,,
25,SEQ_A43C840E3CE9,full_manual_review,other,False,not_reviewed,,,,
26,SEQ_3F76778C90DE,full_manual_review,other,False,not_reviewed,,,,
34,SEQ_73A7CFDF5D70,full_manual_review,other,False,not_reviewed,,,,
36,SEQ_36F7C4C45265,full_manual_review,other,False,not_reviewed,,,,
38,SEQ_436111C795BC,full_manual_review,other,False,not_reviewed,,,,
41,SEQ_6610DD59B18B,full_manual_review,other,False,not_reviewed,,,,
42,SEQ_1D1EBCBDE4B7,full_manual_review,other,False,not_reviewed,,,,
43,SEQ_933FD01A8873,full_manual_review,other,False,not_reviewed,,,,
45,SEQ_C75BBBBCCFCC,full_manual_review,other,False,not_reviewed,,,,
46,SEQ_A03B5F987EAF,full_manual_review,other,False,not_reviewed,,,,
51,SEQ_933D60060365,full_manual_review,other,False,not_reviewed,,,,
54,SEQ_7F8DF41047F3,full_manual_review,other,False,not_reviewed,,,,
55,SEQ_29E215C98F08,full_manual_review,other,False,not_reviewed,,,,
56,SEQ_5BF65E9A402F,full_manual_review,other,False,not_reviewed,,,,
57,SEQ_8AC3A24C5F40,full_manual_review,other,False,not_reviewed,,,,
62,SEQ_1F68BF7AB035,full_manual_review,other,False,not_reviewed,,,,
76,SEQ_83445B4F74AB,full_manual_review,other,False,not_reviewed,,,,
77,SEQ_533D1CE60FB9,full_manual_review,other,False,not_reviewed,,,,
78,SEQ_8FC3ECF6130A,full_manual_review,other,False,not_reviewed,,,,
79,SEQ_B1599713AE24,full_manual_review,other,False,not_reviewed,,,,
85,SEQ_60892EF90140,full_manual_review,other,False,not_reviewed,,,,
88,SEQ_7177C9A563D3,full_manual_review,other,False,not_reviewed,,,,
89,SEQ_BBC5CC71FA91,full_manual_review,other,False,not_reviewed,,,,
99,SEQ_A25A44A56E98,full_manual_review,other,False,not_reviewed,,,,
105,SEQ_0E08A687B153,full_manual_review,other,False,not_reviewed,,,,
106,SEQ_E5EC5B09A0A7,full_manual_review,other,False,not_reviewed,,,,
119,SEQ_58E75048154A,full_manual_review,other,False,not_reviewed,,,,
120,SEQ_8F5AEC8D068F,full_manual_review,other,False,not_reviewed,,,,
121,SEQ_DC00107813C1,full_manual_review,other,False,not_reviewed,,,,
122,SEQ_204A89E34375,full_manual_review,other,False,not_reviewed,,,,
123,SEQ_1345A1C26971,full_manual_review,other,False,not_reviewed,,,,
124,SEQ_89C3799A7F95,full_manual_review,other,False,not_reviewed,,,,
125,SEQ_2FF73853C06D,full_manual_review,other,False,not_reviewed,,,,
126,SEQ_E7C76458FBAF,full_manual_review,other,False,not_reviewed,,,,
128,SEQ_EACADB92942A,full_manual_review,other,False,not_reviewed,,,,
129,SEQ_691D75937138,full_manual_review,other,False,not_reviewed,,,,
132,SEQ_40765E68011F,full_manual_review,other,False,not_reviewed,,,,
146,SEQ_E6EC5F9661A0,full_manual_review,other,False,not_reviewed,,,,
150,SEQ_322A70F6861B,full_manual_review,other,False,not_reviewed,,,,
154,SEQ_3ACC7C7C546C,full_manual_review,other,False,not_reviewed,,,,
155,SEQ_B4DF3D1780AE,full_manual_review,other,False,not_reviewed,,,,
156,SEQ_935069375D36,full_manual_review,other,False,not_reviewed,,,,
157,SEQ_F57CD1C8931E,full_manual_review,other,False,not_reviewed,,,,
158,SEQ_D57ECD3F9752,full_manual_review,other,False,not_reviewed,,,,
159,SEQ_BC80A23CA0CE,full_manual_review,other,False,not_reviewed,,,,
160,SEQ_13F806737871,full_manual_review,other,False,not_reviewed,,,,
161,SEQ_F7A0E98B82A1,full_manual_review,other,False,not_reviewed,,,,
162,SEQ_5D73FCF6A7E9,full_manual_review,other,False,not_reviewed,,,,
169,SEQ_8C79DE346C2A,full_manual_review,other,False,not_reviewed,,,,
170,SEQ_7E4F2FFC3DE2,full_manual_review,other,False,not_reviewed,,,,
171,SEQ_F2D673CE647E,full_manual_review,other,False,not_reviewed,,,,
172,SEQ_8E067D0580FD,full_manual_review,other,False,not_reviewed,,,,
173,SEQ_F0EEBDB0EE90,full_manual_review,other,False,not_reviewed,,,,
174,SEQ_D1CE361C5FB7,full_manual_review,other,False,not_reviewed,,,,
177,SEQ_22F9ADACD27E,full_manual_review,other,False,not_reviewed,,,,
178,SEQ_8A6E06C54895,full_manual_review,other,False,not_reviewed,,,,
179,SEQ_3371734A63D5,full_manual_review,other,False,not_reviewed,,,,
182,SEQ_D3EB9DBFF112,full_manual_review,other,False,not_reviewed,,,,
183,SEQ_8D785B1C8F1B,full_manual_review,other,False,not_reviewed,,,,
184,SEQ_74E901BF18D9,full_manual_review,other,False,not_reviewed,,,,
185,SEQ_AA285EA55B48,full_manual_review,other,False,not_reviewed,,,,
186,SEQ_731BBF82664F,full_manual_review,other,False,not_reviewed,,,,
187,SEQ_090E8EBF5A31,full_manual_review,other,False,not_reviewed,,,,
188,SEQ_C09242DD916F,full_manual_review,other,False,not_reviewed,,,,
189,SEQ_ACFCA5566055,full_manual_review,other,False,not_reviewed,,,,
190,SEQ_4B2B95A3BC94,full_manual_review,other,False,not_reviewed,,,,
191,SEQ_F77775A3F819,full_manual_review,other,False,not_reviewed,,,,
192,SEQ_76418B7EE719,full_manual_review,other,False,not_reviewed,,,,
196,SEQ_20B2B3FA19E6,full_manual_review,other,False,not_reviewed,,,,
197,SEQ_8AC7BEA8C12F,full_manual_review,other,False,not_reviewed,,,,
199,SEQ_7FF8A21A22A4,full_manual_review,other,False,not_reviewed,,,,
200,SEQ_796B1D1C8681,full_manual_review,other,False,not_reviewed,,,,
201,SEQ_EEDB4D5DD8AB,full_manual_review,other,False,not_reviewed,,,,
202,SEQ_2B627ED59C5B,full_manual_review,other,False,not_reviewed,,,,
203,SEQ_0BE9D42231D3,full_manual_review,other,False,not_reviewed,,,,
204,SEQ_C5B162431E78,full_manual_review,other,False,not_reviewed,,,,
205,SEQ_6131D5E85EA3,full_manual_review,other,False,not_reviewed,,,,
220,SEQ_94EC9B34D91C,full_manual_review,other,False,not_reviewed,,,,
222,SEQ_BBFDA5A89A5B,full_manual_review,other,False,not_reviewed,,,,
226,SEQ_2E59D42920C0,full_manual_review,other,False,not_reviewed,,,,
227,SEQ_783878824313,full_manual_review,other,False,not_reviewed,,,,
228,SEQ_7C462E25F1CF,full_manual_review,other,False,not_reviewed,,,,
232,SEQ_9898A9A6A5F0,full_manual_review,other,False,not_reviewed,,,,
233,SEQ_0551C7B0C5FA,full_manual_review,other,False,not_reviewed,,,,
234,SEQ_BF8AA209B521,full_manual_review,other,False,not_reviewed,,,,
235,SEQ_501339B4FCE0,full_manual_review,other,False,not_reviewed,,,,
241,SEQ_81DA82FC492D,full_manual_review,other,False,not_reviewed,,,,
243,SEQ_1064F1BBADE0,full_manual_review,other,False,not_reviewed,,,,
244,SEQ_166A56DE5414,full_manual_review,other,False,not_reviewed,,,,
245,SEQ_B7D3E46D9C74,full_manual_review,other,False,not_reviewed,,,,
246,SEQ_42990AF03AF9,full_manual_review,other,False,not_reviewed,,,,
247,SEQ_176CE87658CF,full_manual_review,other,False,not_reviewed,,,,
248,SEQ_094BD7A8E797,full_manual_review,other,False,not_reviewed,,,,
249,SEQ_D6609B6A249C,full_manual_review,other,False,not_reviewed,,,,
253,SEQ_ED27B2EE2F92,full_manual_review,other,False,not_reviewed,,,,
254,SEQ_246029983F7E,full_manual_review,other,False,not_reviewed,,,,
257,SEQ_4A00841C32A9,full_manual_review,other,False,not_reviewed,,,,
266,SEQ_31B0DC92D92B,full_manual_review,other,False,not_reviewed,,,,
267,SEQ_DA797457E404,full_manual_review,other,False,not_reviewed,,,,
273,SEQ_83837E0EAC5E,full_manual_review,other,False,not_reviewed,,,,
274,SEQ_8F641CB40B93,full_manual_review,other,False,not_reviewed,,,,
277,SEQ_63BAFD4997B6,full_manual_review,other,False,not_reviewed,,,,
278,SEQ_99B535682833,full_manual_review,other,False,not_reviewed,,,,
280,SEQ_4B6E5D41BC4B,full_manual_review,other,False,not_reviewed,,,,
291,SEQ_27CD91EBC04D,full_manual_review,other,False,not_reviewed,,,,
293,SEQ_CE3E634F5DAD,full_manual_review,other,False,not_reviewed,,,,
294,SEQ_48BFB75AA0A7,full_manual_review,other,False,not_reviewed,,,,
295,SEQ_6B6871EF4D15,full_manual_review,other,False,not_reviewed,,,,
297,SEQ_11D89D0E1E25,full_manual_review,other,False,not_reviewed,,,,
299,SEQ_46F5F3DAD2A6,full_manual_review,other,False,not_reviewed,,,,
300,SEQ_E149625B82FE,full_manual_review,other,False,not_reviewed,,,,
301,SEQ_B9A4884FB1B3,full_manual_review,other,False,not_reviewed,,,,
302,SEQ_05F51BAB9A7D,full_manual_review,other,False,not_reviewed,,,,
303,SEQ_C5B8DC8C7CB6,full_manual_review,other,False,not_reviewed,,,,
307,SEQ_A1015F7AA066,full_manual_review,other,False,not_reviewed,,,,
312,SEQ_AD8E250440A0,full_manual_review,other,False,not_reviewed,,,,
314,SEQ_927E766F7C7A,full_manual_review,other,False,not_reviewed,,,,
