Field,Comparable_Field_Count,exact_matches,numeric_comparable,numeric_tolerance_matches,Exact_Match_Rate,Numeric_Tolerance_Rate
Aff_Type,42,33,8,8,0.7857142857142857,1.0
Aff_Unit,42,23,0,0,0.5476190476190477,
Aff_Val,42,23,16,6,0.5476190476190477,0.375
Annot,42,11,2,2,0.2619047619047619,1.0
Author,42,42,0,0,1.0,
Dig_Enzyme,42,42,0,0,1.0,
Dig_Type,42,42,0,0,1.0,
Dig_Val,42,42,0,0,1.0,
Evidence_Affinity,42,17,17,4,0.4047619047619047,0.2352941176470588
Evidence_Classification,42,0,14,11,0.0,0.7857142857142857
Evidence_Sequence,42,1,24,6,0.0238095238095238,0.25
Evidence_Target,42,0,16,8,0.0,0.5
Expr_Sys,42,22,0,0,0.5238095238095238,
HalfLife_h,42,40,0,0,0.9523809523809524,
Is_Eng,42,34,0,0,0.8095238095238095,
Journal,42,42,0,0,1.0,
MOA,42,4,0,0,0.0952380952380952,
MW_kDa,42,39,6,6,0.9285714285714286,1.0
Method,42,22,0,0,0.5238095238095238,
Notes,42,3,5,2,0.0714285714285714,0.4
Organism,42,24,0,0,0.5714285714285714,
PDB_ID,42,40,2,2,0.9523809523809524,1.0
Prot_Name,42,3,28,11,0.0714285714285714,0.3928571428571428
Prot_UniProt,42,36,0,0,0.8571428571428571,
Resol_A,42,40,0,0,0.9523809523809524,
Sequence,42,13,0,0,0.3095238095238095,
Solubility,42,33,0,0,0.7857142857142857,
Source_Type,42,42,0,0,1.0,
Temp,42,30,5,4,0.7142857142857143,0.8
Tgt_Gene,42,17,11,6,0.4047619047619047,0.5454545454545454
Tgt_Species,42,24,0,0,0.5714285714285714,
Tgt_UniProt,42,42,2,2,1.0,1.0
Tm_C,42,35,8,4,0.8333333333333334,0.5
Year,42,19,11,11,0.4523809523809524,1.0
pH,42,31,0,0,0.7380952380952381,
