protein_row_id,structure_unique_sequence_id,PLMSearch_query_original,PLMSearch_query_normalized,PLMSearch_hit_count,PLMSearch_top1_target,PLMSearch_top1_score,PLMSearch_top1_confidence_level,PLMSearch_top2_target,PLMSearch_top3_target,PLMSearch_top4_target,PLMSearch_top5_target,PLMSearch_top6_target,PLMSearch_top7_target,PLMSearch_top8_target,PLMSearch_top9_target,PLMSearch_top10_target,PLMSearch_top11_target,PLMSearch_top12_target,PLMSearch_top13_target,PLMSearch_top14_target,PLMSearch_top15_target,PLMSearch_top16_target,PLMSearch_top17_target,PLMSearch_top18_target,PLMSearch_top19_target,PLMSearch_top20_target
7,SEQ_C5CFAC53E1E1,R0001_kunitz_SEQ_C5CFAC53E1E1|kunitz|ITI-D2,R0001_kunitz_SEQ_C5CFAC53E1E1|kunitz|ITI-D2,20,P86862,0.9961000084877014,high,P62756,P62757,Q9TWF8,P0DMJ3,Q9TWG0,P81548,Q9TWF9,P81547,P0DMJ4,P0DMJ2,P20229,P10280,P81902,P25660,P26228,P81906,P00984,Q7LZE3,P00994
13,SEQ_F451416DF69F,R0002_kunitz_SEQ_F451416DF69F|kunitz|Kunitz-type serine protease inhibitor homolog delta-dendrotoxin,R0002_kunitz_SEQ_F451416DF69F|kunitz|Kunitz-type_serine_protease_inhibitor_homolog_delta-dendrotoxin,20,P81658,0.9980999827384949,high,A0A1Z0YU59,P00984,Q7LZE3,P00983,P20229,Q9TWF9,P0DKL8,P16044,P24541,P25660,P0DN19,P0DMJ3,P81548,Q9TWG0,Q9TWF8,P0DMJ4,P10280,P81547,P86862
19,SEQ_BFA7C71A3038,R0003_knottin_SEQ_BFA7C71A3038|knottin|Delta-amaurobitoxin-Pl1b,R0003_knottin_SEQ_BFA7C71A3038|knottin|Delta-amaurobitoxin-Pl1b,20,P60177,0.9991000294685364,high,P60178,P15968,P83259,P11058,P31328,P61232,P58606,P0DM14,B3EWN3,P83745,P0C1Z8,P0CH59,P0C1Z9,P0DQJ6,P83258,P83557,P84780,A0A3F2YLP5,P61790
25,SEQ_A43C840E3CE9,R0004_knottin_SEQ_A43C840E3CE9|knottin|Omega-conotoxin Bu8,R0004_knottin_SEQ_A43C840E3CE9|knottin|Omega-conotoxin_Bu8,20,P0CY66,1.0,high,P0CY71,P0CY70,Q9N633,Q9TVU1,Q9UA91,Q9TVF6,Q9UA83,Q9BPF2,Q9TVX4,Q9TVK3,Q9TVQ6,Q9TVQ7,Q9TVF7,Q9UA72,Q9UA71,Q9UA86,Q9TVR4,C7T187,C7T183
26,SEQ_3F76778C90DE,R0005_kunitz_SEQ_3F76778C90DE|kunitz|hBikD2,R0005_kunitz_SEQ_3F76778C90DE|kunitz|hBikD2,20,Q9TWG0,0.6936533573924635,medium,Q9TWF8,P0DMJ3,Q9TWF9,P81547,P0DMJ2,P20229,P81548,P0DMJ4,P81902,P10280,P86862,P00994,P26228,P81906,P00984,Q7LZE3,P25660,A0A1Z0YU59,P19859
34,SEQ_73A7CFDF5D70,R0006_knottin_SEQ_73A7CFDF5D70|knottin|aSG2,R0006_knottin_SEQ_73A7CFDF5D70|knottin|aSG2,20,C0HLV4,0.7010393185118957,high,C0HLV3,C0HLV5,C0HLN3,P83790,A0A1S6EK92,A0A1S6EK91,P85966,P10969,P29032,P10968,P02876,P15312,Q9AYP9,Q0JF21,Q01MB6,E1UYU0,E1UYT9,P02877,Q9S8M0
36,SEQ_36F7C4C45265,R0007_knottin_SEQ_36F7C4C45265|knottin|Neublastin,R0007_knottin_SEQ_36F7C4C45265|knottin|Neublastin,20,O60542,0.5852516232572746,medium,Q99748,P97463,O70300,O70301,Q6AYE8,Q9Z0L2,P39905,P38440,Q8TAD2,P0DL42,P82475,P83942,Q06PM8,Q98TU0,P80664,G7PWZ3,Q99988,Q9Z0J7,Q9Z0J6
38,SEQ_436111C795BC,R0008_knottin_SEQ_436111C795BC|knottin|Lambda-hexatoxin-Hv1c,R0008_knottin_SEQ_436111C795BC|knottin|Lambda-hexatoxin-Hv1c,20,B3EWN3,0.47918690001379005,low,P31328,P83557,P0CI04,P83996,P0CH59,P0CH50,P0DM14,A0A3F2YLP5,P61232,P83745,P61790,P0DQJ6,P86418,P83910,P61789,P83746,P84781,P84780,P58606
41,SEQ_6610DD59B18B,R0009_cyclotide_SEQ_6610DD59B18B|cyclotide|circulin F,R0009_cyclotide_SEQ_6610DD59B18B|cyclotide|circulin_F,20,C0HKJ3,0.9987999796867371,high,C0HKH1,C0HK40,C0HKH2,C0HKJ2,P84641,C0HK39,P86901,C0HKK3,C0HKK0,C0HKK4,C0HL34,C0HKK5,P86849,P85182,C0HKH6,P86850,P86846,P84642,C0HJS0
42,SEQ_1D1EBCBDE4B7,R0010_knottin_SEQ_1D1EBCBDE4B7|knottin|Purotoxin-2,R0010_knottin_SEQ_1D1EBCBDE4B7|knottin|Purotoxin-2,20,B3EWH0,1.0,high,Q9TVR4,Q9UA71,Q9UA95,Q9UA93,Q9UA86,C7T188,Q9TVF7,Q9TVF6,Q9TVX4,Q1A3R0,C7T187,Q9UA91,Q9UA83,Q9TVU1,C7T1P5,C7T183,D5L5Q7,Q9TVK3,Q9N6A4
