protein_row_id,structure_unique_sequence_id,flexibility_loop_count_total,flexibility_loop_count_primary,flexibility_loop_count_with_dssp,flexibility_loop_count_with_getcontact,flexibility_loop_count_with_itsflex,flexibility_loop_count_with_colabfold,flexibility_avg_rsa_mean,flexibility_avg_rsa_median,flexibility_constraint_score_mean,flexibility_constraint_score_median,flexibility_itsflex_score_mean,flexibility_itsflex_score_median,flexibility_dynamic_score_mean,flexibility_dynamic_score_median,flexibility_consensus_rigid_count,flexibility_consensus_intermediate_count,flexibility_consensus_flexible_count,flexibility_conflict_loop_count,flexibility_summary_version,flexibility_summary_timestamp
7,SEQ_C5CFAC53E1E1,2,2,2,2,2,2,0.399468,0.399468,3.0265155,3.0265155,0.0961182684999999,0.0961182684999999,0.340559,0.340559,0,2,0,2,v1,2026-05-13T18:58:56
13,SEQ_F451416DF69F,2,2,2,2,2,2,0.446414,0.446414,3.1022725,3.1022725,0.069043846,0.069043846,0.3317719999999999,0.3317719999999999,0,1,1,1,v1,2026-05-13T18:58:56
19,SEQ_BFA7C71A3038,3,1,3,3,3,3,0.5802013333333333,0.60206,6.179487333333333,5.538462,0.0084017707233333,0.01194619,1.8477006666666669,1.911757,0,0,3,2,v1,2026-05-13T18:58:56
25,SEQ_A43C840E3CE9,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
26,SEQ_3F76778C90DE,2,2,2,2,2,2,0.430758,0.430758,2.844697,2.844697,0.0622655205,0.0622655205,0.182883,0.182883,0,2,0,2,v1,2026-05-13T18:58:56
34,SEQ_73A7CFDF5D70,1,0,1,1,1,1,0.631807,0.631807,2.0,2.0,0.30188605,0.30188605,0.705443,0.705443,0,0,1,0,v1,2026-05-13T18:58:56
36,SEQ_36F7C4C45265,2,0,2,2,0,0,0.5769839999999999,0.5769839999999999,1.8,1.8,,,,,0,0,2,0,v1,2026-05-13T18:58:56
38,SEQ_436111C795BC,2,1,2,2,2,2,0.6919455,0.6919455,5.1714285,5.1714285,0.173101292505,0.173101292505,1.366301,1.366301,0,0,2,2,v1,2026-05-13T18:58:56
41,SEQ_6610DD59B18B,1,0,1,1,1,1,0.502327,0.502327,2.0,2.0,0.03930965,0.03930965,0.841155,0.841155,0,0,1,0,v1,2026-05-13T18:58:56
42,SEQ_1D1EBCBDE4B7,2,1,2,2,2,2,0.6883170000000001,0.6883170000000001,6.027778,6.027778,0.065047153,0.065047153,1.3340235,1.3340235,0,0,2,2,v1,2026-05-13T18:58:56
43,SEQ_933FD01A8873,3,2,3,3,3,3,0.5760513333333334,0.529743,2.3095236666666668,2.0,0.2023038586666666,0.20168577,0.5213186666666667,0.650932,0,1,2,0,v1,2026-05-13T18:58:56
45,SEQ_C75BBBBCCFCC,1,1,1,1,1,1,0.70725,0.70725,1.333333,1.333333,0.7519156,0.7519156,3.438958,3.438958,0,0,1,0,v1,2026-05-13T18:58:56
46,SEQ_A03B5F987EAF,3,0,3,3,0,0,0.552,0.469585,2.688889,3.4,,,,,1,1,1,0,v1,2026-05-13T18:58:56
51,SEQ_933D60060365,1,1,1,1,1,1,0.368861,0.368861,3.5,3.5,0.22069634,0.22069634,0.502348,0.502348,0,0,1,1,v1,2026-05-13T18:58:56
54,SEQ_7F8DF41047F3,2,0,2,2,2,2,0.6158185,0.6158185,2.1166665,2.1166665,0.1282836175,0.1282836175,1.1303915,1.1303915,0,0,2,0,v1,2026-05-13T18:58:56
55,SEQ_29E215C98F08,1,0,1,1,1,1,0.594204,0.594204,2.0,2.0,0.15208389,0.15208389,2.071542,2.071542,0,0,1,0,v1,2026-05-13T18:58:56
56,SEQ_5BF65E9A402F,2,1,2,2,2,2,0.5687865,0.5687865,2.5,2.5,0.087329043,0.087329043,0.4864145,0.4864145,0,0,2,1,v1,2026-05-13T18:58:56
57,SEQ_8AC3A24C5F40,2,0,2,2,2,2,0.6398755,0.6398755,2.092857,2.092857,0.153801005,0.153801005,0.6464004999999999,0.6464004999999999,0,0,2,0,v1,2026-05-13T18:58:56
62,SEQ_1F68BF7AB035,2,0,2,2,2,2,0.5353455,0.5353455,4.2,4.2,0.38450485,0.38450485,1.129502,1.129502,0,0,2,2,v1,2026-05-13T18:58:56
76,SEQ_83445B4F74AB,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
77,SEQ_533D1CE60FB9,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
78,SEQ_8FC3ECF6130A,2,2,2,2,2,2,0.4311365,0.4311365,3.5454545,3.5454545,0.1074350917,0.1074350917,1.3779675,1.3779675,0,0,2,1,v1,2026-05-13T18:58:56
79,SEQ_B1599713AE24,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
85,SEQ_60892EF90140,3,0,3,3,0,0,0.541229,0.540132,2.487830666666667,2.285714,,,,,0,1,2,0,v1,2026-05-13T18:58:56
88,SEQ_7177C9A563D3,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
89,SEQ_BBC5CC71FA91,2,1,2,2,2,2,0.4781465,0.4781465,7.721591,7.721591,0.05577046165,0.05577046165,4.367635,4.367635,0,0,2,2,v1,2026-05-13T18:58:56
99,SEQ_A25A44A56E98,1,1,1,1,1,1,0.484656,0.484656,10.153846,10.153846,2.7990036e-05,2.7990036e-05,0.777014,0.777014,0,1,0,1,v1,2026-05-13T18:58:56
105,SEQ_0E08A687B153,2,0,2,2,2,2,0.690825,0.690825,6.0892855,6.0892855,0.045726784,0.045726784,3.1278635,3.1278635,0,0,2,2,v1,2026-05-13T18:58:56
106,SEQ_E5EC5B09A0A7,1,0,1,1,1,1,0.663841,0.663841,6.714286,6.714286,0.016695779,0.016695779,0.954848,0.954848,0,0,1,1,v1,2026-05-13T18:58:56
119,SEQ_58E75048154A,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
120,SEQ_8F5AEC8D068F,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
121,SEQ_DC00107813C1,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
122,SEQ_204A89E34375,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
123,SEQ_1345A1C26971,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
124,SEQ_89C3799A7F95,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
125,SEQ_2FF73853C06D,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
126,SEQ_E7C76458FBAF,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
128,SEQ_EACADB92942A,3,1,3,3,3,2,0.5277296666666667,0.511501,2.7428573333333337,2.571429,0.1814787799999999,0.2114072,0.3428929999999999,0.385204,0,0,3,3,v1,2026-05-13T18:58:56
129,SEQ_691D75937138,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
132,SEQ_40765E68011F,3,3,3,3,3,3,0.5756596666666667,0.600005,9.452381,9.833333,0.0791092346,0.016964551,0.3118876666666667,0.322836,2,1,0,3,v1,2026-05-13T18:58:56
146,SEQ_E6EC5F9661A0,1,0,1,1,1,1,0.52792,0.52792,5.5,5.5,0.12242004,0.12242004,0.60071,0.60071,0,0,1,1,v1,2026-05-13T18:58:56
150,SEQ_322A70F6861B,1,1,1,1,1,1,0.374717,0.374717,3.5,3.5,0.15267162,0.15267162,0.572836,0.572836,0,0,1,1,v1,2026-05-13T18:58:56
154,SEQ_3ACC7C7C546C,1,1,1,1,1,1,0.361144,0.361144,3.5,3.5,0.1962233,0.1962233,0.305612,0.305612,0,1,0,1,v1,2026-05-13T18:58:56
155,SEQ_B4DF3D1780AE,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
156,SEQ_935069375D36,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
157,SEQ_F57CD1C8931E,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
158,SEQ_D57ECD3F9752,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
159,SEQ_BC80A23CA0CE,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
160,SEQ_13F806737871,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
161,SEQ_F7A0E98B82A1,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
162,SEQ_5D73FCF6A7E9,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
169,SEQ_8C79DE346C2A,3,1,3,3,3,3,0.5837566666666667,0.525628,5.144444333333333,5.833333,0.0968391176666666,0.047620643,3.184419333333334,3.37781,0,0,3,2,v1,2026-05-13T18:58:56
170,SEQ_7E4F2FFC3DE2,2,2,2,2,2,2,0.502644,0.502644,2.952381,2.952381,0.16149727,0.16149727,0.3784984999999999,0.3784984999999999,0,1,1,1,v1,2026-05-13T18:58:56
171,SEQ_F2D673CE647E,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
172,SEQ_8E067D0580FD,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
173,SEQ_F0EEBDB0EE90,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
174,SEQ_D1CE361C5FB7,2,0,2,2,2,2,0.6091709999999999,0.6091709999999999,2.0757575,2.0757575,0.35216342,0.35216342,2.6373315,2.6373315,0,0,2,0,v1,2026-05-13T18:58:56
177,SEQ_22F9ADACD27E,2,0,2,2,2,2,0.668608,0.668608,2.218182,2.218182,0.386359645,0.386359645,2.4014295,2.4014295,0,0,2,0,v1,2026-05-13T18:58:56
178,SEQ_8A6E06C54895,2,0,2,2,2,2,0.585376,0.585376,7.929411999999999,7.929411999999999,0.222518735,0.222518735,3.2277595000000003,3.2277595000000003,0,0,2,2,v1,2026-05-13T18:58:56
179,SEQ_3371734A63D5,2,0,2,2,2,2,0.7101660000000001,0.7101660000000001,1.5090910000000002,1.5090910000000002,0.4956466,0.4956466,4.163323500000001,4.163323500000001,0,0,2,0,v1,2026-05-13T18:58:56
182,SEQ_D3EB9DBFF112,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
183,SEQ_8D785B1C8F1B,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
184,SEQ_74E901BF18D9,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
185,SEQ_AA285EA55B48,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
186,SEQ_731BBF82664F,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
187,SEQ_090E8EBF5A31,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
188,SEQ_C09242DD916F,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
189,SEQ_ACFCA5566055,2,0,2,2,2,2,0.5264005,0.5264005,2.918182,2.918182,0.073864872,0.073864872,9.6479325,9.6479325,0,0,2,1,v1,2026-05-13T18:58:56
190,SEQ_4B2B95A3BC94,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
191,SEQ_F77775A3F819,2,2,2,2,2,2,0.6942364999999999,0.6942364999999999,1.2333335,1.2333335,0.36591932,0.36591932,0.51446,0.51446,0,0,2,0,v1,2026-05-13T18:58:56
192,SEQ_76418B7EE719,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
196,SEQ_20B2B3FA19E6,1,1,1,1,1,1,0.496011,0.496011,2.769231,2.769231,0.31543386,0.31543386,2.909217,2.909217,0,0,1,1,v1,2026-05-13T18:58:56
197,SEQ_8AC7BEA8C12F,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
199,SEQ_7FF8A21A22A4,2,2,2,2,2,2,0.5946629999999999,0.5946629999999999,2.342857,2.342857,0.270954885,0.270954885,0.3972275,0.3972275,0,1,1,1,v1,2026-05-13T18:58:56
200,SEQ_796B1D1C8681,2,2,2,2,2,2,0.431961,0.431961,3.1022725,3.1022725,0.081473749,0.081473749,0.423237,0.423237,0,1,1,1,v1,2026-05-13T18:58:56
201,SEQ_EEDB4D5DD8AB,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
202,SEQ_2B627ED59C5B,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
203,SEQ_0BE9D42231D3,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
204,SEQ_C5B162431E78,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
205,SEQ_6131D5E85EA3,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
220,SEQ_94EC9B34D91C,1,1,1,1,1,1,0.36261,0.36261,3.666667,3.666667,0.20320287,0.20320287,0.278101,0.278101,0,1,0,1,v1,2026-05-13T18:58:56
222,SEQ_BBFDA5A89A5B,2,1,2,2,2,2,0.6359355,0.6359355,5.940476500000001,5.940476500000001,0.007487822,0.007487822,2.032744,2.032744,0,0,2,2,v1,2026-05-13T18:58:56
226,SEQ_2E59D42920C0,1,1,1,1,1,1,0.360882,0.360882,3.333333,3.333333,0.16299462,0.16299462,0.840497,0.840497,0,0,1,1,v1,2026-05-13T18:58:56
227,SEQ_783878824313,2,0,2,2,2,0,0.4972455,0.4972455,6.9285715,6.9285715,0.101367341,0.101367341,0.101367,0.101367,2,0,0,2,v1,2026-05-13T18:58:56
228,SEQ_7C462E25F1CF,2,1,2,2,2,2,0.5691875,0.5691875,2.154762,2.154762,0.09400005,0.09400005,0.359,0.359,0,0,2,1,v1,2026-05-13T18:58:56
232,SEQ_9898A9A6A5F0,1,1,1,1,1,1,0.530597,0.530597,10.571429,10.571429,0.00012100855,0.00012100855,1.284561,1.284561,0,0,1,1,v1,2026-05-13T18:58:56
233,SEQ_0551C7B0C5FA,2,0,2,2,2,2,0.5459125,0.5459125,8.9166665,8.9166665,0.0239973790379999,0.0239973790379999,0.2697485,0.2697485,1,1,0,2,v1,2026-05-13T18:58:56
234,SEQ_BF8AA209B521,2,1,2,2,2,2,0.499641,0.499641,9.5333335,9.5333335,0.0006543786353,0.0006543786353,0.2560775,0.2560775,2,0,0,2,v1,2026-05-13T18:58:56
235,SEQ_501339B4FCE0,2,1,2,2,2,2,0.575472,0.575472,5.6805555000000005,5.6805555000000005,0.0145783689999999,0.0145783689999999,0.204039,0.204039,0,2,0,1,v1,2026-05-13T18:58:56
241,SEQ_81DA82FC492D,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
243,SEQ_1064F1BBADE0,1,0,1,1,1,1,0.491471,0.491471,1.888889,1.888889,0.14665234,0.14665234,0.794326,0.794326,0,0,1,0,v1,2026-05-13T18:58:56
244,SEQ_166A56DE5414,2,2,2,2,2,2,0.4353295,0.4353295,2.837121,2.837121,0.0281437565,0.0281437565,0.2130719999999999,0.2130719999999999,0,1,1,2,v1,2026-05-13T18:58:56
245,SEQ_B7D3E46D9C74,2,2,2,2,2,2,0.4401279999999999,0.4401279999999999,2.5699300000000003,2.5699300000000003,0.107110938,0.107110938,0.4828055,0.4828055,0,0,2,1,v1,2026-05-13T18:58:56
246,SEQ_42990AF03AF9,2,2,2,2,2,2,0.435948,0.435948,2.8825755,2.8825755,0.031189797,0.031189797,0.197845,0.197845,0,1,1,2,v1,2026-05-13T18:58:56
247,SEQ_176CE87658CF,2,2,2,2,2,2,0.4223105,0.4223105,3.0113635,3.0113635,0.037909471,0.037909471,0.2509545,0.2509545,0,1,1,1,v1,2026-05-13T18:58:56
248,SEQ_094BD7A8E797,2,2,2,2,2,2,0.4453479999999999,0.4453479999999999,2.583916,2.583916,0.1256283285,0.1256283285,0.616064,0.616064,0,0,2,1,v1,2026-05-13T18:58:56
249,SEQ_D6609B6A249C,2,2,2,2,2,2,0.4472615,0.4472615,2.625,2.625,0.0252089995,0.0252089995,0.2211044999999999,0.2211044999999999,0,1,1,2,v1,2026-05-13T18:58:56
253,SEQ_ED27B2EE2F92,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
254,SEQ_246029983F7E,2,2,2,2,2,2,0.4394865,0.4394865,2.5314685,2.5314685,0.08746569,0.08746569,0.488733,0.488733,0,0,2,1,v1,2026-05-13T18:58:56
257,SEQ_4A00841C32A9,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
266,SEQ_31B0DC92D92B,2,0,2,2,2,0,0.3764185,0.3764185,3.3142855,3.3142855,0.127234045,0.127234045,0.127234,0.127234,0,2,0,1,v1,2026-05-13T18:58:56
267,SEQ_DA797457E404,2,2,2,2,2,2,0.4167145,0.4167145,2.7083335,2.7083335,0.1342341085,0.1342341085,1.365117,1.365117,0,0,2,1,v1,2026-05-13T18:58:56
273,SEQ_83837E0EAC5E,1,1,1,1,1,1,0.484656,0.484656,10.153846,10.153846,2.7990412e-05,2.7990412e-05,3.737514,3.737514,0,0,1,1,v1,2026-05-13T18:58:56
274,SEQ_8F641CB40B93,1,1,1,1,1,1,0.484656,0.484656,10.153846,10.153846,2.7990543e-05,2.7990543e-05,3.668014,3.668014,0,0,1,1,v1,2026-05-13T18:58:56
277,SEQ_63BAFD4997B6,1,0,1,1,1,1,0.462381,0.462381,2.166667,2.166667,0.05150738,0.05150738,0.680254,0.680254,0,0,1,1,v1,2026-05-13T18:58:56
278,SEQ_99B535682833,1,0,1,1,1,1,0.470708,0.470708,2.166667,2.166667,0.055702563,0.055702563,0.354851,0.354851,0,0,1,0,v1,2026-05-13T18:58:56
280,SEQ_4B6E5D41BC4B,2,2,2,2,2,2,0.4253989999999999,0.4253989999999999,3.3674245000000003,3.3674245000000003,0.118329362,0.118329362,0.3194145,0.3194145,0,1,1,1,v1,2026-05-13T18:58:56
291,SEQ_27CD91EBC04D,0,0,0,0,0,0,,,,,,,,,0,0,0,0,v1,
