protein_row_id,structure_unique_sequence_id,EcoliExpr_screen_input_id,EcoliExpr_screen_row_index,EcoliExpr_screen_track,EcoliExpr_soluprot_score,EcoliExpr_netsolp_solubility,EcoliExpr_netsolp_usability,EcoliExpr_rp3net_score,EcoliExpr_ensemble_score,EcoliExpr_engineering_required,EcoliExpr_out_of_domain,EcoliExpr_recommended_ecoli_route,EcoliExpr_candidate_bucket,EcoliExpr_screening_note,EcoliExpr_track_reason,EcoliExpr_score_components_available,EcoliExpr_priority_rank_within_track,EcoliExpr_priority_rank_within_scaffold,EcoliExpr_ensemble_score_weight_sum,EcoliExpr_netsolp_tool_score,EcoliExpr_confidence_score_0_100,EcoliExpr_confidence_tier,EcoliExpr_tool_score_spread
7,SEQ_C5CFAC53E1E1,SCR0001_SEQ_C5CFAC53E1E1,1,Track B,0.8133,0.6776,0.3326,0.0038995649665594,0.5752,True,False,oxidative/periplasm/fusion-tag-first,track_b_top30pct,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,187.0,39,1.0,0.5714,54,Low,0.8094
8,SEQ_C6743B5DF681,SCR1007_SEQ_C6743B5DF681,1007,Track C,0.9344,0.685,0.3869,0.297941505908966,0.649,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,25,1.0,0.5933,62,Medium,0.6365
13,SEQ_F451416DF69F,SCR0002_SEQ_F451416DF69F,2,Track B,0.584,0.7153,0.3703,0.0712886452674865,0.5491,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits. Annotated disulfide bonds present.,disulfide_rich_or_knottin_kunitz,3,272.0,68,1.0,0.6091,63,Medium,0.5379
14,SEQ_BAD446B45BBF,SCR1008_SEQ_BAD446B45BBF,1008,Track B,0.961,0.6698,0.363,0.2271851152181625,0.637,True,False,oxidative/periplasm/fusion-tag-first,track_b_top30pct,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,57.0,42,1.0,0.5754,58,Medium,0.7338
15,SEQ_F48FFA923D13,SCR1009_SEQ_F48FFA923D13,1009,Track B,0.7613,0.7045,0.4041,0.7193132042884827,0.6601,True,False,oxidative/periplasm/fusion-tag-first,track_b_top30pct,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,36.0,28,1.0,0.6121,80,High,0.1492
16,SEQ_91F8E729FAD8,SCR1010_SEQ_91F8E729FAD8,1010,Track B,0.1777,0.7304,0.3308,0.1177927255630493,0.451,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,550.0,269,1.0,0.6074,64,Medium,0.4897
17,SEQ_2D732694341A,SCR1011_SEQ_2D732694341A,1011,Track B,0.1556,0.7406,0.372,0.0111181642860174,0.4477,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,556.0,271,1.0,0.6272,60,Medium,0.6161
18,SEQ_3396FD3CDC12,SCR1012_SEQ_3396FD3CDC12,1012,Track C,0.4309,0.6199,0.3273,0.0248075891286134,0.4546,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,305,1.0,0.5299,64,Medium,0.5051
19,SEQ_BFA7C71A3038,SCR0003_SEQ_BFA7C71A3038,3,Track B,0.1097,0.6896,0.3674,0.027132574468851,0.4139,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits. Annotated disulfide bonds present.,disulfide_rich_or_knottin_kunitz,3,610.0,288,1.0,0.5905,63,Medium,0.5633
20,SEQ_8D33CAD6A518,SCR1013_SEQ_8D33CAD6A518,1013,Track C,0.767,0.5713,0.2326,0.003285372396931,0.4957,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,253,1.0,0.4671,53,Low,0.7637
