row_index,protein_label,scaffold,canonical_name,selected_structure_type,selected_structure_source_path,selected_structure_bundle_path,structure_locator,structure_best_available_source
0,R0001_kunitz_SEQ_C5CFAC53E1E1,kunitz,ITI-D2,local_exact_prediction,<local_path_removed>/SEQ_C5CFAC53E1E1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0001_kunitz_SEQ_C5CFAC53E1E1_local_exact_prediction.pdb,,local_exact_sequence_prediction
1,R0002_kunitz_SEQ_F451416DF69F,kunitz,Kunitz-type serine protease inhibitor homolog delta-dendrotoxin,local_exact_prediction,<local_path_removed>/SEQ_F451416DF69F_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0002_kunitz_SEQ_F451416DF69F_local_exact_prediction.pdb,,local_exact_sequence_prediction
2,R0003_knottin_SEQ_BFA7C71A3038,knottin,Delta-amaurobitoxin-Pl1b,PDB_exact,<local_path_removed>/SEQ_BFA7C71A3038_1V91_full.pdb,<local_path_removed>/R0003_knottin_SEQ_BFA7C71A3038_PDB_exact.pdb,1V91_A,PDB_exact_experimental_located
3,R0004_knottin_SEQ_A43C840E3CE9,knottin,Omega-conotoxin Bu8,PDB_exact,<local_path_removed>/SEQ_A43C840E3CE9_5ZNU_full.pdb,<local_path_removed>/R0004_knottin_SEQ_A43C840E3CE9_PDB_exact.pdb,,PDB_exact_experimental
4,R0005_kunitz_SEQ_3F76778C90DE,kunitz,hBikD2,local_exact_prediction,<local_path_removed>/SEQ_3F76778C90DE_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0005_kunitz_SEQ_3F76778C90DE_local_exact_prediction.pdb,,local_exact_sequence_prediction
5,R0006_knottin_SEQ_73A7CFDF5D70,knottin,aSG2,local_exact_prediction,<local_path_removed>/SEQ_73A7CFDF5D70_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0006_knottin_SEQ_73A7CFDF5D70_local_exact_prediction.pdb,,local_exact_sequence_prediction
6,R0007_knottin_SEQ_36F7C4C45265,knottin,Neublastin,PDB_exact,<local_path_removed>/SEQ_36F7C4C45265_2ASK_chain_A.pdb,<local_path_removed>/R0007_knottin_SEQ_36F7C4C45265_PDB_exact.pdb,2ASK_A,PDB_exact_experimental
7,R0008_knottin_SEQ_436111C795BC,knottin,Lambda-hexatoxin-Hv1c,PDB_exact,<local_path_removed>/SEQ_436111C795BC_1DL0_full.pdb,<local_path_removed>/R0008_knottin_SEQ_436111C795BC_PDB_exact.pdb,1DL0_A,PDB_exact_experimental_located
8,R0009_cyclotide_SEQ_6610DD59B18B,cyclotide,circulin F,local_exact_prediction,<local_path_removed>/SEQ_6610DD59B18B_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0009_cyclotide_SEQ_6610DD59B18B_local_exact_prediction.pdb,,local_exact_sequence_prediction
9,R0010_knottin_SEQ_1D1EBCBDE4B7,knottin,Purotoxin-2,PDB_exact,<local_path_removed>/SEQ_1D1EBCBDE4B7_2MZF_full.pdb,<local_path_removed>/R0010_knottin_SEQ_1D1EBCBDE4B7_PDB_exact.pdb,2MZF_A,PDB_exact_experimental_located
10,R0011_knottin_SEQ_933FD01A8873,knottin,McAMPl,local_exact_prediction,<local_path_removed>/SEQ_933FD01A8873_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0011_knottin_SEQ_933FD01A8873_local_exact_prediction.pdb,,local_exact_sequence_prediction
11,R0012_knottin_SEQ_C75BBBBCCFCC,knottin,humTGFB2,local_exact_prediction,<local_path_removed>/SEQ_C75BBBBCCFCC_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0012_knottin_SEQ_C75BBBBCCFCC_local_exact_prediction.pdb,,local_exact_sequence_prediction
12,R0013_obody_SEQ_A03B5F987EAF,obody,OBody AM1L10,PDB_exact,<local_path_removed>/SEQ_A03B5F987EAF_4GN3_chain_B.pdb,<local_path_removed>/R0013_obody_SEQ_A03B5F987EAF_PDB_exact.pdb,4GN3_B,PDB_exact_experimental_located
13,R0014_kunitz_SEQ_933D60060365,kunitz,Kunitz domain of Amblyomin-X,PDB_exact,<local_path_removed>/SEQ_933D60060365_8AJ7_full.pdb,<local_path_removed>/R0014_kunitz_SEQ_933D60060365_PDB_exact.pdb,8AJ7_A,PDB_exact_experimental_located
14,R0015_knottin_SEQ_7F8DF41047F3,knottin,aSR3,local_exact_prediction,<local_path_removed>/SEQ_7F8DF41047F3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0015_knottin_SEQ_7F8DF41047F3_local_exact_prediction.pdb,,local_exact_sequence_prediction
15,R0016_knottin_SEQ_29E215C98F08,knottin,aSR2,local_exact_prediction,<local_path_removed>/SEQ_29E215C98F08_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0016_knottin_SEQ_29E215C98F08_local_exact_prediction.pdb,,local_exact_sequence_prediction
16,R0017_knottin_SEQ_5BF65E9A402F,knottin,aSG3,local_exact_prediction,<local_path_removed>/SEQ_5BF65E9A402F_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0017_knottin_SEQ_5BF65E9A402F_local_exact_prediction.pdb,,local_exact_sequence_prediction
17,R0018_knottin_SEQ_8AC3A24C5F40,knottin,aSG1,local_exact_prediction,<local_path_removed>/SEQ_8AC3A24C5F40_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0018_knottin_SEQ_8AC3A24C5F40_local_exact_prediction.pdb,,local_exact_sequence_prediction
18,R0019_affimer_SEQ_1F68BF7AB035,affimer,Affimer F4 with specificity for Fc gamma receptor IIIa,PDB_exact,<local_path_removed>/SEQ_1F68BF7AB035_5ML9_chain_B_2_104_slice.pdb,<local_path_removed>/R0019_affimer_SEQ_1F68BF7AB035_PDB_exact.pdb,5ML9_B:2-104,PDB_exact_experimental_located
19,R0020_avimer_SEQ_83445B4F74AB,avimer,"MINI PROTEIN A DOMAIN, Z38",PDB_exact,<local_path_removed>/SEQ_83445B4F74AB_1ZDB_full.pdb,<local_path_removed>/R0020_avimer_SEQ_83445B4F74AB_PDB_exact.pdb,1ZDB_A,PDB_exact_experimental_located
20,R0021_kunitz_SEQ_533D1CE60FB9,kunitz,Human amyloid protein precursor homologue,PDB_exact,<local_path_removed>/SEQ_533D1CE60FB9_5JBT_chain_Y.pdb,<local_path_removed>/R0021_kunitz_SEQ_533D1CE60FB9_PDB_exact.pdb,5JBT_Y,PDB_exact_experimental
21,R0022_kunitz_SEQ_8FC3ECF6130A,kunitz,human amyloid protein precursor homolog Kunitz-type inhibitor domain,local_exact_prediction,<local_path_removed>/SEQ_8FC3ECF6130A_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0022_kunitz_SEQ_8FC3ECF6130A_local_exact_prediction.pdb,,local_exact_sequence_prediction
22,R0023_phdfingerdomain_SEQ_B1599713AE24,phdfingerdomain,KDM5B,local_exact_prediction,<local_path_removed>/SEQ_B1599713AE24_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0023_phdfingerdomain_SEQ_B1599713AE24_local_exact_prediction.pdb,,local_exact_sequence_prediction
23,R0024_obody_SEQ_60892EF90140,obody,OBody AM2EP06,PDB_exact,<local_path_removed>/SEQ_60892EF90140_4GN4_chain_B.pdb,<local_path_removed>/R0024_obody_SEQ_60892EF90140_PDB_exact.pdb,4GN4_B,PDB_exact_experimental_located
24,R0025_kunitz_SEQ_7177C9A563D3,kunitz,Tissue Factor Pathway Inhibitor (TFPI),PDB_exact,<local_path_removed>/SEQ_7177C9A563D3_4BQD_chain_A_26_76_slice.pdb,<local_path_removed>/R0025_kunitz_SEQ_7177C9A563D3_PDB_exact.pdb,4BQD_A:26-76,PDB_exact_experimental_located
25,R0026_knottin_SEQ_BBC5CC71FA91,knottin,Delta-hexatoxin-Ar1a,PDB_exact,<local_path_removed>/SEQ_BBC5CC71FA91_1QDP_full.pdb,<local_path_removed>/R0026_knottin_SEQ_BBC5CC71FA91_PDB_exact.pdb,1QDP_A,PDB_exact_experimental_located
26,R0027_kunitz_SEQ_A25A44A56E98,kunitz,Tissue Factor Pathway Inhibitor (TFPI),PDB_exact,<local_path_removed>/SEQ_A25A44A56E98_1ADZ_full.pdb,<local_path_removed>/R0027_kunitz_SEQ_A25A44A56E98_PDB_exact.pdb,1ADZ_A:14-64,PDB_exact_experimental_located
27,R0028_cyclotide_SEQ_0E08A687B153,cyclotide,vhl-1,PDB_exact,<local_path_removed>/SEQ_0E08A687B153_1ZA8_full.pdb,<local_path_removed>/R0028_cyclotide_SEQ_0E08A687B153_PDB_exact.pdb,1ZA8_A,PDB_exact_experimental_located
28,R0029_cyclotide_SEQ_E5EC5B09A0A7,cyclotide,tricyclon A,PDB_exact,<local_path_removed>/SEQ_E5EC5B09A0A7_1YP8_full.pdb,<local_path_removed>/R0029_cyclotide_SEQ_E5EC5B09A0A7_PDB_exact.pdb,1YP8_A,PDB_exact_experimental_located
29,R0030_avimer_SEQ_58E75048154A,avimer,,local_exact_prediction,<local_path_removed>/SEQ_58E75048154A_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0030_avimer_SEQ_58E75048154A_local_exact_prediction.pdb,,local_exact_sequence_prediction
30,R0031_avimer_SEQ_8F5AEC8D068F,avimer,,local_exact_prediction,<local_path_removed>/SEQ_8F5AEC8D068F_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0031_avimer_SEQ_8F5AEC8D068F_local_exact_prediction.pdb,,local_exact_sequence_prediction
31,R0032_avimer_SEQ_DC00107813C1,avimer,,local_exact_prediction,<local_path_removed>/SEQ_DC00107813C1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0032_avimer_SEQ_DC00107813C1_local_exact_prediction.pdb,,local_exact_sequence_prediction
32,R0033_avimer_SEQ_204A89E34375,avimer,,local_exact_prediction,<local_path_removed>/SEQ_204A89E34375_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0033_avimer_SEQ_204A89E34375_local_exact_prediction.pdb,,local_exact_sequence_prediction
33,R0034_avimer_SEQ_1345A1C26971,avimer,,local_exact_prediction,<local_path_removed>/SEQ_1345A1C26971_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0034_avimer_SEQ_1345A1C26971_local_exact_prediction.pdb,,local_exact_sequence_prediction
34,R0035_avimer_SEQ_89C3799A7F95,avimer,,local_exact_prediction,<local_path_removed>/SEQ_89C3799A7F95_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0035_avimer_SEQ_89C3799A7F95_local_exact_prediction.pdb,,local_exact_sequence_prediction
