protein_row_id,structure_unique_sequence_id,foldseek_status,foldseek_target,foldseek_evalue,foldseek_bits,foldseek_alntmscore,foldseek_qtmscore,foldseek_ttmscore,foldseek_lddt,foldseek_prob,foldseek_fident,foldseek_alnlen,foldseek_qcov,foldseek_tcov,foldseek_avg_tm,foldseek_confidence
7,SEQ_C5CFAC53E1E1,hit,1bik-assembly1_A,1.364e-08,338.0,0.9719,0.9382,0.484,0.9202,1.0,0.925,54.0,0.964,0.491,0.7111,high
8,SEQ_C6743B5DF681,hit,2lg4-assembly1_A,1.426e-07,297.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,1.0,1.0,high
13,SEQ_F451416DF69F,hit,1dtk-assembly1_A,3.194e-09,360.0,0.9166,0.9166,0.9166,0.897,1.0,0.947,57.0,1.0,1.0,0.9166,high
14,SEQ_BAD446B45BBF,hit,1x5v-assembly1_A,1.922e-06,277.0,1.0,1.0,0.9706,1.0,1.0,1.0,33.0,1.0,0.971,0.9853,high
15,SEQ_F48FFA923D13,hit,1qk6-assembly1_A,1.185e-06,280.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,1.0,1.0,1.0,high
16,SEQ_91F8E729FAD8,hit,1ag7-assembly1_A,9.803e-06,247.0,1.0,1.0,0.9706,1.0,1.0,0.97,34.0,1.0,1.0,0.9853,high
17,SEQ_2D732694341A,hit,1ag7-assembly1_A,9.803e-06,247.0,1.0,1.0,0.9706,1.0,1.0,0.97,34.0,1.0,1.0,0.9853,high
18,SEQ_3396FD3CDC12,hit,1rmk-assembly1_A,2.022e-05,241.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,1.0,1.0,high
19,SEQ_BFA7C71A3038,hit,1v91-assembly1_A,2.135e-07,315.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,1.0,1.0,1.0,high
20,SEQ_8D33CAD6A518,hit,2kht-assembly1_A,1.607e-05,240.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,high
21,SEQ_5BA4BA9AC119,hit,1ju8-assembly1_A,2.137e-07,316.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,1.0,1.0,1.0,high
22,SEQ_2F80E7E35E67,hit,1lmr-assembly1_A,2.241e-07,310.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,high
23,SEQ_106AEB902735,hit,7rms-assembly1_A,0.01683,112.0,0.8298,0.7472,0.8298,0.7931,1.0,0.612,31.0,0.912,0.967,0.7885,medium
25,SEQ_A43C840E3CE9,hit,5znu-assembly1_A,0.000524,183.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,high
26,SEQ_3F76778C90DE,hit,3p95-assembly1_E,6.3e-08,318.0,0.9545,0.9545,0.9387,0.955,1.0,0.561,57.0,1.0,0.983,0.9466,high
27,SEQ_9A8534BCF2D3,hit,1i26-assembly1_A,1.115e-06,279.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,1.0,1.0,1.0,high
28,SEQ_61624A109773,hit,3mzw-assembly1_B,1.209e-06,291.0,0.9682,0.8448,0.9682,0.885,1.0,0.924,53.0,0.869,1.0,0.9065,high
30,SEQ_D8540B103774,hit,6u6g-assembly1_A,5.852e-06,250.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,high
32,SEQ_511ADDD935FC,hit,7rmq-assembly1_A,0.07977,93.0,0.829,0.829,0.829,0.8483,0.998,0.5,30.0,1.0,1.0,0.829,high
33,SEQ_7A8E8DE0DA68,hit,1dkc-assembly1_A,1.588e-07,330.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,1.0,1.0,1.0,high
34,SEQ_73A7CFDF5D70,hit,1zwu-assembly1_A,0.005362,124.0,0.7902,0.7902,0.7722,0.8538,1.0,0.758,29.0,1.0,0.967,0.7812,high
35,SEQ_9B361E35BEAA,hit,4npf-assembly2_X,4.684e-07,209.0,0.4604,0.4604,0.4319,0.67,1.0,0.605,109.0,0.972,0.887,0.44615,low
36,SEQ_36F7C4C45265,hit,2ask-assembly1_A,5.691e-20,878.0,1.0,1.0,1.0,1.0,1.0,1.0,101.0,1.0,1.0,1.0,high
38,SEQ_436111C795BC,hit,1dl0-assembly1_A,7.446e-07,296.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,1.0,1.0,1.0,high
39,SEQ_8B89389E2AF1,hit,2kcg-assembly1_A,6.972e-06,243.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,high
41,SEQ_6610DD59B18B,hit,7rih-assembly1_B-2,0.0004888,172.0,0.8985,0.8985,0.8738,0.9407,1.0,0.758,29.0,1.0,0.967,0.88615,high
