protein_row_id,structure_unique_sequence_id,TED_n_residues,TED_n_high,TED_n_medium,TED_n_low,TED_n_consensus,TED_high_domains,TED_medium_domains,TED_low_domains,TED_searchable_domain_count,TED_searchable_high_domain_count,TED_searchable_medium_domain_count,TED_domains_with_cath_hit_count,TED_domains_without_cath_hit_count,TED_domain_hit_coverage,TED_mean_novelty_l2_topk,TED_max_novelty_l2_topk,TED_best_top1_target,TED_best_top1_cosine,TED_best_cath_domain_id,TED_best_cath_class_code,TED_best_cath_class_name,TED_best_cath_architecture_code,TED_best_cath_architecture_name,TED_best_cath_topology_code,TED_best_cath_topology_name,TED_best_cath_superfamily_code,TED_best_cath_superfamily_name,TED_top_hit_targets_all,TED_top_hit_superfamilies_all,TED_top_hit_topologies_all,TED_best_domain_id,TED_best_domain_confidence,TED_best_domain_ranges,TED_best_domain_novelty_l2_topk,TED_best_domain_top1_target,TED_best_domain_top1_cosine,TED_best_domain_cath_superfamily_code,TED_best_domain_cath_superfamily_name,TED_domain_summary_compact
7,SEQ_C5CFAC53E1E1,56.0,0.0,1.0,1.0,1.0,na,2-56,16-53,1.0,0.0,1.0,1.0,0.0,1.0,37.235706,37.235706,dompdb/1fakI00,0.912717,1fakI00,4.0,Few Secondary Structures,4.1,Irregular,4.10.410,Factor Xa Inhibitor,4.10.410.10,Pancreatic trypsin inhibitor Kunitz domain,dompdb/1fakI00,4.10.410.10,4.10.410,R0001_kunitz_SEQ_C5CFAC53E1E1_local_exact_prediction__M001,medium,2-56,37.235706,dompdb/1fakI00,0.912717,4.10.410.10,Pancreatic trypsin inhibitor Kunitz domain,R0001_kunitz_SEQ_C5CFAC53E1E1_local_exact_prediction__M001|medium|2-56|dompdb/1fakI00|4.10.410.10|37.235706
8,SEQ_C6743B5DF681,40.0,0.0,1.0,0.0,1.0,na,2-34,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1007_cyclotide_SEQ_C6743B5DF681_PDB_exact__M001|medium|2-34|||
13,SEQ_F451416DF69F,57.0,0.0,1.0,1.0,1.0,na,2-57,18-56,1.0,0.0,1.0,1.0,0.0,1.0,37.36092,37.36092,dompdb/1fakI00,0.981908,1fakI00,4.0,Few Secondary Structures,4.1,Irregular,4.10.410,Factor Xa Inhibitor,4.10.410.10,Pancreatic trypsin inhibitor Kunitz domain,dompdb/1fakI00,4.10.410.10,4.10.410,R0002_kunitz_SEQ_F451416DF69F_local_exact_prediction__M001,medium,2-57,37.36092,dompdb/1fakI00,0.981908,4.10.410.10,Pancreatic trypsin inhibitor Kunitz domain,R0002_kunitz_SEQ_F451416DF69F_local_exact_prediction__M001|medium|2-57|dompdb/1fakI00|4.10.410.10|37.360920
14,SEQ_BAD446B45BBF,34.0,0.0,0.0,1.0,0.0,na,na,2-34,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SEQ_F48FFA923D13,33.0,0.0,1.0,0.0,1.0,na,2-33,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1009_knottin_SEQ_F48FFA923D13_PDB_exact__M001|medium|2-33|||
16,SEQ_91F8E729FAD8,34.0,0.0,1.0,0.0,1.0,na,2-10_13-32,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,"R1010_knottin_SEQ_91F8E729FAD8_PDB_exact__M001|medium|2-10,13-32|||"
17,SEQ_2D732694341A,34.0,0.0,1.0,0.0,1.0,na,2-10_13-32,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,"R1011_knottin_SEQ_2D732694341A_PDB_exact__M001|medium|2-10,13-32|||"
18,SEQ_3396FD3CDC12,31.0,0.0,1.0,0.0,1.0,na,2-31,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1012_cyclotide_SEQ_3396FD3CDC12_PDB_exact__M001|medium|2-31|||
19,SEQ_BFA7C71A3038,38.0,0.0,1.0,0.0,1.0,na,2-38,na,1.0,0.0,1.0,1.0,0.0,1.0,2538.463623,2538.463623,dompdb/3axfA02,0.6809,3axfA02,3.0,Alpha Beta,3.4,3-Layer(aba) Sandwich,3.40.190,D-Maltodextrin-Binding Protein; domain 2,3.40.190.10,Periplasmic binding protein-like II,dompdb/3axfA02,3.40.190.10,3.40.190,R0003_knottin_SEQ_BFA7C71A3038_PDB_exact__M001,medium,2-38,2538.463623,dompdb/3axfA02,0.6809,3.40.190.10,Periplasmic binding protein-like II,R0003_knottin_SEQ_BFA7C71A3038_PDB_exact__M001|medium|2-38|dompdb/3axfA02|3.40.190.10|2538.463623
20,SEQ_8D33CAD6A518,30.0,0.0,1.0,0.0,1.0,na,2-30,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1013_cyclotide_SEQ_8D33CAD6A518_PDB_exact__M001|medium|2-30|||
21,SEQ_5BA4BA9AC119,37.0,0.0,1.0,0.0,1.0,na,2-37,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1014_knottin_SEQ_5BA4BA9AC119_PDB_exact__M001|medium|2-37|||
22,SEQ_2F80E7E35E67,35.0,0.0,1.0,0.0,1.0,na,2-35,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1015_knottin_SEQ_2F80E7E35E67_PDB_exact__M001|medium|2-35|||
23,SEQ_106AEB902735,34.0,1.0,0.0,0.0,1.0,2-33,na,na,1.0,1.0,0.0,1.0,0.0,1.0,37.495163,37.495163,dompdb/3k59A05,0.875754,3k59A05,6.0,Special,6.1,Helix non-globular,6.10.140,Helix Hairpins,6.10.140.1130,,dompdb/3k59A05,6.10.140.1130,6.10.140,R1016_cyclotide_SEQ_106AEB902735_local_exact_prediction__H001,high,2-33,37.495163,dompdb/3k59A05,0.875754,6.10.140.1130,,R1016_cyclotide_SEQ_106AEB902735_local_exact_prediction__H001|high|2-33|dompdb/3k59A05|6.10.140.1130|37.495163
25,SEQ_A43C840E3CE9,26.0,0.0,1.0,0.0,1.0,na,2-26,na,1.0,0.0,1.0,1.0,0.0,1.0,2293.046143,2293.046143,dompdb/4fchA02,0.550742,4fchA02,2.0,Mainly Beta,2.6,Sandwich,2.60.40,Immunoglobulin-like,2.60.40.3610,,dompdb/4fchA02,2.60.40.3610,2.60.40,R0004_knottin_SEQ_A43C840E3CE9_PDB_exact__M001,medium,2-26,2293.046143,dompdb/4fchA02,0.550742,2.60.40.3610,,R0004_knottin_SEQ_A43C840E3CE9_PDB_exact__M001|medium|2-26|dompdb/4fchA02|2.60.40.3610|2293.046143
26,SEQ_3F76778C90DE,57.0,1.0,0.0,0.0,1.0,2-55,na,na,1.0,1.0,0.0,1.0,0.0,1.0,37.046856,37.046856,dompdb/1fakI00,0.963054,1fakI00,4.0,Few Secondary Structures,4.1,Irregular,4.10.410,Factor Xa Inhibitor,4.10.410.10,Pancreatic trypsin inhibitor Kunitz domain,dompdb/1fakI00,4.10.410.10,4.10.410,R0005_kunitz_SEQ_3F76778C90DE_local_exact_prediction__H001,high,2-55,37.046856,dompdb/1fakI00,0.963054,4.10.410.10,Pancreatic trypsin inhibitor Kunitz domain,R0005_kunitz_SEQ_3F76778C90DE_local_exact_prediction__H001|high|2-55|dompdb/1fakI00|4.10.410.10|37.046856
27,SEQ_9A8534BCF2D3,34.0,0.0,1.0,0.0,1.0,na,2-34,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1017_knottin_SEQ_9A8534BCF2D3_PDB_exact__M001|medium|2-34|||
28,SEQ_61624A109773,61.0,1.0,0.0,0.0,1.0,7-55,na,na,1.0,1.0,0.0,1.0,0.0,1.0,22.150782,22.150782,dompdb/3bbzA00,0.957875,3bbzA00,1.0,Mainly Alpha,1.1,Orthogonal Bundle,1.10.8,"Helicase, Ruva Protein; domain 3",1.10.8.10,Ubiquitin-associated (UBA) domain,dompdb/3bbzA00,1.10.8.10,1.10.8,R1018_Ibody_SEQ_61624A109773_local_exact_prediction__H001,high,7-55,22.150782,dompdb/3bbzA00,0.957875,1.10.8.10,Ubiquitin-associated (UBA) domain,R1018_Ibody_SEQ_61624A109773_local_exact_prediction__H001|high|7-55|dompdb/3bbzA00|1.10.8.10|22.150782
30,SEQ_D8540B103774,36.0,0.0,0.0,1.0,0.0,na,na,2-36,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SEQ_511ADDD935FC,30.0,0.0,0.0,1.0,0.0,na,na,2-30,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SEQ_7A8E8DE0DA68,38.0,0.0,0.0,1.0,0.0,na,na,2-38,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SEQ_73A7CFDF5D70,29.0,0.0,0.0,1.0,0.0,na,na,2-29,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SEQ_9B361E35BEAA,107.0,0.0,2.0,1.0,2.0,na,"11-47,67-107",13-104,2.0,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1022_Ibody_SEQ_9B361E35BEAA_local_exact_prediction__M001|medium|11-47|||; R1022_Ibody_SEQ_9B361E35BEAA_local_exact_prediction__M002|medium|67-107|||
36,SEQ_36F7C4C45265,223.0,1.0,0.0,0.0,1.0,14-65_75-100,na,na,1.0,1.0,0.0,1.0,0.0,1.0,36.069359,36.069359,dompdb/4rv9A01,0.757926,4rv9A01,6.0,Special,6.2,Other non-globular,6.20.50,N-terminal domain of TfIIb,6.20.50.110,"Methyltransferase, zinc-binding domain",dompdb/4rv9A01,6.20.50.110,6.20.50,R0007_knottin_SEQ_36F7C4C45265_PDB_exact__H001,high,"14-65,75-100",36.069359,dompdb/4rv9A01,0.757926,6.20.50.110,"Methyltransferase, zinc-binding domain","R0007_knottin_SEQ_36F7C4C45265_PDB_exact__H001|high|14-65,75-100|dompdb/4rv9A01|6.20.50.110|36.069359"
38,SEQ_436111C795BC,37.0,0.0,1.0,0.0,1.0,na,2-37,na,1.0,0.0,1.0,1.0,0.0,1.0,1653.328125,1653.328125,dompdb/6c62A00,0.743243,6c62A00,3.0,Alpha Beta,3.9,Alpha-Beta Complex,3.90.1300,Amidase signature (AS) enzymes,3.90.1300.10,Amidase signature (AS) domain,dompdb/6c62A00,3.90.1300.10,3.90.1300,R0008_knottin_SEQ_436111C795BC_PDB_exact__M001,medium,2-37,1653.328125,dompdb/6c62A00,0.743243,3.90.1300.10,Amidase signature (AS) domain,R0008_knottin_SEQ_436111C795BC_PDB_exact__M001|medium|2-37|dompdb/6c62A00|3.90.1300.10|1653.328125
39,SEQ_8B89389E2AF1,30.0,0.0,0.0,1.0,0.0,na,na,2-30,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SEQ_6610DD59B18B,29.0,0.0,1.0,0.0,1.0,na,2-29,na,1.0,0.0,1.0,1.0,0.0,1.0,33.218086,33.218086,dompdb/1gmnB01,0.899911,1gmnB01,3.0,Alpha Beta,3.5,3-Layer(bba) Sandwich,3.50.4,Hepatocyte Growth Factor,3.50.4.10,Hepatocyte Growth Factor,dompdb/1gmnB01,3.50.4.10,3.50.4,R0009_cyclotide_SEQ_6610DD59B18B_local_exact_prediction__M001,medium,2-29,33.218086,dompdb/1gmnB01,0.899911,3.50.4.10,Hepatocyte Growth Factor,R0009_cyclotide_SEQ_6610DD59B18B_local_exact_prediction__M001|medium|2-29|dompdb/1gmnB01|3.50.4.10|33.218086
42,SEQ_1D1EBCBDE4B7,64.0,0.0,1.0,0.0,1.0,na,2-39,na,1.0,0.0,1.0,1.0,0.0,1.0,3205.456299,3205.456299,dompdb/7xrjA01,0.6795,7xrjA01,,,,,,,,,dompdb/7xrjA01,,,R0010_knottin_SEQ_1D1EBCBDE4B7_PDB_exact__M001,medium,2-39,3205.456299,dompdb/7xrjA01,0.6795,,,R0010_knottin_SEQ_1D1EBCBDE4B7_PDB_exact__M001|medium|2-39|dompdb/7xrjA01||3205.456299
