protein_row_id,structure_unique_sequence_id,ProtParam_MW_Da,ProtParam_pI,ProtParam_GRAVY,ProtParam_Instability_Index,ProtParam_Aromaticity,ProtParam_Ext_Coeff_Reduced,ProtParam_Ext_Coeff_Oxidized
7,SEQ_C5CFAC53E1E1,6179.14,8.63,-0.0375,45.52,0.1607,9970,10345
8,SEQ_C6743B5DF681,4302.95,9.13,-0.4575,31.57,0.05,0,375
13,SEQ_F451416DF69F,6573.7,9.62,-0.6544,61.77,0.1579,12950,13325
14,SEQ_BAD446B45BBF,3625.28,8.35,0.2182,30.49,0.0606,2980,3355
15,SEQ_F48FFA923D13,3756.41,8.89,-0.6758,65.98,0.0909,11000,11375
16,SEQ_91F8E729FAD8,3548.1,8.71,-0.5412,56.32,0.0,0,375
17,SEQ_2D732694341A,3224.75,8.98,-0.3774,33.52,0.0,0,375
18,SEQ_3396FD3CDC12,3412.2,7.8,1.2484,41.1,0.1613,8480,8855
19,SEQ_BFA7C71A3038,4123.62,8.21,-0.5595,59.42,0.1351,11460,11960
20,SEQ_8D33CAD6A518,3448.08,8.68,0.3,55.71,0.1667,9970,10345
21,SEQ_5BA4BA9AC119,3925.54,6.74,0.2649,56.62,0.0811,0,375
22,SEQ_2F80E7E35E67,3787.35,7.8,-0.36,44.39,0.0571,1490,1865
23,SEQ_106AEB902735,3634.19,4.78,0.3176,44.74,0.0882,2980,3355
25,SEQ_A43C840E3CE9,5511.19,9.89,-1.206,66.8,0.02,1490,1865
26,SEQ_3F76778C90DE,6387.12,6.35,-0.4544,68.68,0.1404,8480,8855
27,SEQ_9A8534BCF2D3,3621.15,7.8,-0.3029,29.09,0.0882,6990,7365
28,SEQ_61624A109773,6840.58,8.14,-0.8115,70.15,0.082,8480,8480
30,SEQ_D8540B103774,4318.13,10.32,-0.5972,32.54,0.0833,2980,3230
32,SEQ_511ADDD935FC,3304.82,7.81,-0.1933,44.73,0.0667,1490,1865
33,SEQ_7A8E8DE0DA68,3935.45,8.9,-0.2316,26.26,0.1053,4470,4845
34,SEQ_73A7CFDF5D70,3000.33,7.82,-0.4931,19.04,0.1034,4470,4845
35,SEQ_9B361E35BEAA,11163.11,4.65,-0.4953,53.25,0.0374,2980,3105
36,SEQ_36F7C4C45265,11964.62,11.31,-0.2451,57.34,0.0442,6990,7365
38,SEQ_436111C795BC,3768.29,6.2,-0.2514,45.9,0.027,1490,1990
39,SEQ_8B89389E2AF1,3134.72,8.34,0.4567,13.65,0.0667,6990,7365
41,SEQ_6610DD59B18B,3075.69,8.34,0.6517,25.8,0.069,6990,7365
42,SEQ_1D1EBCBDE4B7,7264.29,7.05,-0.6438,50.97,0.0625,2980,3480
43,SEQ_933FD01A8873,4287.93,9.3,-0.8316,5.51,0.1316,8480,8855
44,SEQ_7365FCEB55B0,5639.46,6.79,1.0362,3.06,0.0862,12490,12490
45,SEQ_C75BBBBCCFCC,7837.91,6.82,-0.4515,35.77,0.1176,16960,16960
46,SEQ_A03B5F987EAF,12295.97,6.47,0.0274,19.88,0.0885,22460,22460
47,SEQ_15BAF787CC9B,13557.46,5.16,0.2688,38.32,0.104,15930,16305
48,SEQ_1927D5670A85,14626.56,4.52,0.1556,40.68,0.0963,15930,16305
49,SEQ_D98E6C6DD7C4,12788.5,5.7,0.2175,35.22,0.0833,11460,11835
51,SEQ_933D60060365,6441.1,5.09,-0.5983,28.89,0.1034,8480,8855
52,SEQ_8A54730D2790,2703.3,5.52,1.23,112.05,0.0,0,375
54,SEQ_7F8DF41047F3,2979.4,7.81,-0.3345,34.6,0.1034,4470,4845
55,SEQ_29E215C98F08,3036.45,7.81,-0.3367,33.78,0.1,4470,4845
56,SEQ_5BF65E9A402F,3068.41,7.82,-0.3,22.82,0.0968,4470,4845
57,SEQ_8AC3A24C5F40,3011.35,7.82,-0.32,21.96,0.1,4470,4845
58,SEQ_6C3FAB49E6B7,3101.56,7.81,0.0862,48.39,0.1034,6990,7365
59,SEQ_8964A1584BCB,4119.98,9.57,0.1263,60.18,0.0526,5500,5875
61,SEQ_D70C587A68A7,12104.53,5.83,-0.7381,30.43,0.1048,16960,16960
62,SEQ_1F68BF7AB035,12388.85,5.82,-0.645,29.68,0.1009,16960,16960
63,SEQ_A287FD1D544D,7211.85,9.42,-1.2554,26.72,0.1077,7450,7700
64,SEQ_96049DD523A6,3747.37,7.81,0.3784,63.78,0.0541,1490,1865
65,SEQ_6A4842FF9F08,2046.32,6.93,-0.065,97.38,0.0,0,125
66,SEQ_179E93B2447B,4080.66,8.69,0.1025,16.61,0.025,1490,1865
67,SEQ_BC873C27CAD8,5211.25,8.9,-0.2106,72.67,0.0426,5500,6125
68,SEQ_166A0BDB74D3,2930.36,6.0,0.2276,40.08,0.0345,5500,5875
69,SEQ_83102DDE915E,3588.18,8.96,-0.1125,13.79,0.0625,2980,3355
72,SEQ_114EBD6F4E53,11938.46,5.47,-0.5388,27.56,0.1262,23950,23950
73,SEQ_7E02C8407329,12008.4,5.1,-0.7767,31.08,0.1068,18450,18450
74,SEQ_0D1ADFCB7D8F,11683.12,5.22,-0.5272,25.8,0.0971,9970,9970
76,SEQ_83445B4F74AB,4561.96,6.82,-1.3289,63.55,0.0789,1490,1490
77,SEQ_533D1CE60FB9,6122.03,8.32,-0.2091,47.79,0.1273,9970,10345
78,SEQ_8FC3ECF6130A,6079.0,8.39,-0.2574,48.49,0.1296,9970,10220
79,SEQ_B1599713AE24,5855.68,4.41,0.0547,45.56,0.0755,8480,8855
80,SEQ_6A43FD5EA9DC,10517.81,7.32,1.3077,-13.22,0.1538,0,0
81,SEQ_6BE0EFC66E2B,3072.4,6.9,-0.0667,63.51,0.0333,0,375
82,SEQ_AAEDAA0FEEDB,2367.64,4.05,0.1545,8.32,0.0455,0,0
84,SEQ_AF30ABE91422,10129.3,6.34,0.0947,24.44,0.1263,22920,22920
85,SEQ_60892EF90140,11829.36,6.08,-0.0167,19.88,0.0926,22460,22460
87,SEQ_34669548F14A,3140.68,5.96,0.7467,28.56,0.0667,2980,3355
88,SEQ_7177C9A563D3,5984.86,6.36,-0.4588,50.2,0.1569,1490,1865
89,SEQ_BBC5CC71FA91,4856.7,8.88,-0.5929,32.14,0.119,13980,14480
90,SEQ_B78F75B84A68,4855.67,8.7,-0.5738,56.63,0.119,19480,19980
93,SEQ_9033148A984A,3880.72,5.51,0.6579,30.01,0.0,0,125
94,SEQ_0FE34D351A8A,3253.75,5.32,0.18,43.17,0.1,4470,4845
95,SEQ_9D030F6E19A4,4340.12,9.27,-0.4585,12.43,0.0244,1490,1990
96,SEQ_68A6E3BEB1DB,3340.91,5.43,0.3438,10.43,0.0312,1490,1990
97,SEQ_E7EE2D96D382,13135.95,4.05,1.2266,29.54,0.0,0,1875
98,SEQ_A7F6DEA711DD,4143.71,7.77,-0.1231,58.04,0.1026,4470,4845
99,SEQ_A25A44A56E98,6057.81,5.19,-0.698,42.17,0.1569,5960,6335
101,SEQ_3F4ACE0F456C,14220.19,4.05,-0.6319,46.56,0.0444,16500,17625
102,SEQ_759B1A27D9B4,9518.21,4.11,-0.7089,45.54,0.0444,11000,11750
103,SEQ_747905F623EC,4920.23,4.05,-0.3936,46.75,0.0426,5500,5875
104,SEQ_3CFE05BB5FF8,14220.19,4.05,-0.6319,46.56,0.0444,16500,17625
105,SEQ_0E08A687B153,3340.93,6.1,0.6903,45.6,0.0968,1490,1865
106,SEQ_E5EC5B09A0A7,3504.94,4.87,0.0061,6.53,0.1515,8480,8855
107,SEQ_E6E91B3D4EB3,3307.97,8.33,0.6419,26.35,0.0645,1490,1865
108,SEQ_A36B28EA26ED,3175.77,8.33,0.4167,24.06,0.0667,6990,7365
110,SEQ_1B1C229C5ADB,3199.62,4.37,-0.0433,34.2,0.1,6990,7365
111,SEQ_0B459F735DF8,3307.8,7.76,-0.0226,28.46,0.0645,2980,3355
113,SEQ_D7286932E259,3095.6,7.77,0.0379,44.68,0.069,6990,7365
114,SEQ_EB5BD689BCD3,2904.33,8.34,-0.2966,42.93,0.0,0,375
115,SEQ_4BF5E4B9B81A,2963.35,6.03,-0.1931,31.84,0.0345,5500,5875
